model,DIC,delta_DIC
C_no_bin_M6_rob,1235.3691958611598,0
C_no_bin_M3_sex,1235.806311406517,0.43711554535707364
C_no_bin_M5_baseline,1236.411003748043,1.0418078868831344
C_no_bin_M1_duration,1237.9082623739164,2.5390665127565626
C_no_bin_M0_base,1238.5815985348054,3.212402673645556
C_no_bin_M4_dur_age_sex,1239.1371741052747,3.767978244114829
C_no_bin_M2_age,1241.3896693210907,6.020473459930827
