studyid,arm,treatment,class,data_type,n,mean_change,sd_change,approx_smd
Clerc 1994,2,52,SNRIs,BF,33,-22.799999999999997,10.714009520249643,-2.128054857232266
Cohn 1990b,1,44,SSRIs,CFB,121,-13.3,7.76,-1.713917525773196
Cohn 1990b,2,45,TCAs,CFB,64,-14.2,7.76,-1.8298969072164948
Colonna 2005,1,40,SSRIs,BIN,182,-18.22958673460493,4.7,-3.878635475447857
Colonna 2005,2,41,SSRIs,BIN,175,-17.708565315351915,4.3,-4.1182710035702135
Connolly Gibbons 2012,1,29,Short-term psychodynamic psychotherapies individual,BF,16,-6.399999999999999,5.820472489411834,-1.099567090411027
Connolly Gibbons 2012,2,33,Any psychotherapy,BF,15,-3.8999999999999986,6.611837868550619,-0.5898511242313504
Connolly Gibbons 2016,1,10,Cognitive and cognitive behavioural therapies individual,BF,119,-5.02,5.118622861668947,-0.9807325399166464
Connolly Gibbons 2016,2,29,Short-term psychodynamic psychotherapies individual,BF,118,-4.16,5.319013066349808,-0.7820999775912968
Cornelius 1997,1,37,Counselling individual + placebo,CFB,26,-2,13.3,-0.15037593984962405
Cornelius 1997,2,81,Counselling individual + AD,CFB,25,-6,9.6,-0.625
Costa 1998,1,42,SSRIs,BF,186,-20.6,6.898550572402872,-2.986134519678487
Costa 1998,2,52,SNRIs,BF,196,-21.4,7.544534445544006,-2.8364904626606062
Costa 2016,1,26,Self-help with support,BF,19,-9.6,11.05305387664423,-0.868538243560486
Costa 2016,2,27,Self-help with support,BF,18,-13.7,6.954135460285484,-1.9700507817599486
Cutler 2009,1,1,Placebo,BF,152,-71.78,6.386706041854399,-11.23897037527634
Cutler 2009,2,51,SNRIs,BF,141,-75.44,6.083134085890865,-12.40150207686108
De Ronchi 1998,1,42,SSRIs,BF,32,-11.38,7.405207627068941,-1.536756371070763
De Ronchi 1998,2,45,TCAs,BF,33,-12.56,8.198225417735232,-1.5320388693910436
DeJonghe 2001/Kool 2003,1,53,Any AD,BF,20,-9.1,7.885004755864133,-1.1540893482952266
DeJonghe 2001/Kool 2003,2,82,Short-term psychodynamic psychotherapies individual + AD,BF,23,-8.61,5.852725860656725,-1.4711093950048577
DeNayer 2002,1,42,SSRIs,CFB,67,-10.4,8.6,-1.2093023255813955
DeNayer 2002,2,52,SNRIs,CFB,64,-14.4,7.6,-1.8947368421052633
DeWilde 1993,1,42,SSRIs,CFB,41,-15,10.3,-1.4563106796116503
DeWilde 1993,2,43,SSRIs,CFB,37,-17.3,9.5,-1.8210526315789475
Dekker 2005,1,82,Short-term psychodynamic psychotherapies individual + AD,BF,45,-8.299999999999999,5.9025418253494815,-1.4061738562112718
Dekker 2005,2,82,Short-term psychodynamic psychotherapies individual + AD,BF,45,-8.200000000000001,6.609084656743323,-1.240716441971045
Demyttenaere 1998,1,42,SSRIs,BF,35,-14.999999999999998,5.538050198400155,-2.7085344954679598
Demyttenaere 1998,2,45,TCAs,BF,31,-16.7,4.1581245772583575,-4.016233686536413
Detke 2002a,1,1,Placebo,BF,139,-49.21,5.472211774825253,-8.992707523928285
Detke 2002a,2,51,SNRIs,BF,128,-51.12,5.472211774825253,-9.341743723292296
Detke 2002b,1,1,Placebo,BF,122,-48.33,5.643599390573292,-8.563683680441128
Detke 2002b,2,51,SNRIs,BF,123,-53.75,5.857725435884712,-9.175916588839224
Detke 2004,1,1,Placebo,CFB,93,-8.8,4.82,-1.8257261410788381
Detke 2004,2,43,SSRIs,CFB,85,-11.7,4.61,-2.5379609544468544
Detke 2004,3,51,SNRIs,CFB,93,-11,4.82,-2.2821576763485476
Detke 2004,4,51,SNRIs,CFB,93,-12.1,4.82,-2.5103734439834025
Deushle 2003,1,43,SSRIs,BF,40,-10.900000000000002,7.118988692223074,-1.5311163525104878
Deushle 2003,2,45,TCAs,BF,40,-13.5,6.481512169239521,-2.0828472812362184
Diaz-Martinez 1998,1,42,SSRIs,BF,55,-24,7.170064513084519,-3.3472502173729177
Diaz-Martinez 1998,2,52,SNRIs,BF,55,-23.1,7.102259599865576,-3.252486011696505
Dierick 1996,1,42,SSRIs,BF,161,-14.2,7.697817872618189,-1.8446786134692328
Dierick 1996,2,52,SNRIs,BF,153,-16.3,8.606392972668631,-1.8939409403874536
Doogan 1994,1,1,Placebo,BF,90,-66.7,5.477264383793169,-12.17761191104094
Doogan 1994,2,44,SSRIs,BF,83,-71.19999999999999,5.477264383793169,-12.999189926028706
Doongaji 1993,1,45,TCAs,CFB,63,-7.5,5.56,-1.3489208633093526
Doongaji 1993,2,49,TCAs,CFB,63,-7.4,3.97,-1.8639798488664987
Duan 2009,1,42,SSRIs,BF,44,-12.400000000000002,4.856953777832356,-2.5530405614718625
Duan 2009,2,94,Acupuncture + AD,BF,46,-13.7,4.648655719667784,-2.9470885404649994
Dube 2010,1,1,Placebo,CFB,122,-13,8.84,-1.4705882352941178
Dube 2010,2,41,SSRIs,CFB,54,-15,8.82,-1.7006802721088434
Dubey 2012,1,48,TCAs,CFB,30,-25.53,7.82,-3.264705882352941
Dubey 2012,2,51,SNRIs,CFB,30,-20.27,7.04,-2.8792613636363638
Dunn 2005,1,60,Exercise individual,BF,17,-10.1,3.1176914536239795,-3.2395765104528995
Dunn 2005,2,60,Exercise individual,BF,16,-9.1,4.794788837894741,-1.8978937983837383
Dunn 2005,3,61,Exercise individual,BF,16,-7.600000000000001,5.03189825016365,-1.5103644036826123
Dunn 2005,4,61,Exercise individual,BF,18,-6.399999999999999,4.334743360338648,-1.4764426559961334
Dunn 2005,5,61,Exercise individual,BF,13,-6.5,4.24381903478459,-1.531639296285387
E-1569,1,6,Mirtazapine,CFB,72,-12.2,7.5,-1.6266666666666665
E-1569,2,43,SSRIs,CFB,72,-15,6.6,-2.272727272727273
Egede 2015,1,8,Behavioural therapies individual,BIN,121,-4.360804619407286,10.3,-0.4233790892628433
Egede 2015,2,8,Behavioural therapies individual,BIN,120,-3.5369532842482077,9.8,-0.3609136004334906
Eli Lilly HMAT-A,1,1,Placebo,CFB,89,-4.78,6.42,-0.7445482866043615
Eli Lilly HMAT-A,2,43,SSRIs,CFB,87,-7.4,6.44,-1.1490683229813665
Eli Lilly HMAT-A,3,51,SNRIs,CFB,81,-6.31,6.3,-1.0015873015873016
Elkin 1989/Imber 1990,1,1,Placebo,BF,62,-6.300000000000001,6.791170738539858,-0.9276751008846729
Elkin 1989/Imber 1990,2,10,Cognitive and cognitive behavioural therapies individual,BF,59,-8.900000000000002,6.84178339323893,-1.3008304251191303
Elkin 1989/Imber 1990,3,18,Interpersonal psychotherapy (IPT) individual,BF,61,-9.8,6.872408602520662,-1.42599204540975
Elkin 1989/Imber 1990,4,48,TCAs,BF,57,-9.7,6.791170738539858,-1.428325155330369
Emsley 2018,1,1,Placebo,BF,106,-9.5,5.977457653551383,-1.589304441890236
Emsley 2018,2,41,SSRIs,BF,98,-13.6,5.71664237118258,-2.379018857040487
FDA 244 (EMD 68 843-009),1,1,Placebo,CFB,95,-9.3,7.8,-1.1923076923076925
FDA 244 (EMD 68 843-009),2,42,SSRIs,CFB,89,-9.1,7.4,-1.2297297297297296
FDA 245 (EMD 68 843-010),1,1,Placebo,CFB,99,-10.2,7.96,-1.2814070351758793
FDA 245 (EMD 68 843-010),2,42,SSRIs,CFB,92,-11.1,7.67,-1.4471968709256844
Fabre 1992,1,1,Placebo,CFB,36,-3.06,8.1,-0.3777777777777778
Fabre 1992,2,43,SSRIs,CFB,38,-9.13,8.13702648391905,-1.1220314961544409
Fabre 1992,3,48,TCAs,CFB,37,-7.62,8.09007416529663,-0.9418949498246789
Fabre 1995a,1,1,Placebo,CFB,86,-7.6,7.5,-1.0133333333333332
Fabre 1995a,2,44,SSRIs,CFB,90,-10.6,8.6,-1.2325581395348837
Fabre 1995a,3,44,SSRIs,CFB,89,-9.8,8.9,-1.101123595505618
Fabre 1995a,4,44,SSRIs,CFB,82,-9.2,8.2,-1.1219512195121952
Fagiolini 2020,1,7,Trazodone,CFB,165,-12.9,6.82,-1.8914956011730204
Fagiolini 2020,2,52,SNRIs,CFB,152,-14.7,6.56,-2.2408536585365852
Farabaugh 2015,1,11,Cognitive and cognitive behavioural therapies individual,BF,15,-8.799999999999999,5.608538133952554,-1.5690363138884995
Farabaugh 2015,2,41,SSRIs,BF,11,-5.449999999999999,8.026013954635264,-0.6790419292571078
Fava 1998a,1,1,Placebo,CFB,19,-11.6,8.9,-1.3033707865168538
Fava 1998a,2,42,SSRIs,CFB,54,-10.8,9.5,-1.1368421052631579
Fava 1998a,3,43,SSRIs,CFB,55,-11.1,9.4,-1.180851063829787
Fava 2002a,1,42,SSRIs,CFB,88,-11.48,7.62,-1.5065616797900263
Fava 2002a,2,43,SSRIs,CFB,93,-12.32,7.63,-1.614678899082569
Fava 2002a,3,44,SSRIs,CFB,96,-12.93,8.19,-1.578754578754579
Fava 2005,1,1,Placebo,BF,43,-7.299999999999999,5.550675634551167,-1.3151552136391922
Fava 2005,2,42,SSRIs,BF,47,-6.300000000000001,6.345864795282043,-0.9927724909430562
Fawcett 1989,1,42,SSRIs,BF,19,-10.8,5.634713834792322,-1.916690060338806
Fawcett 1989,2,45,TCAs,BF,19,-8.9,6.894200461257274,-1.2909401242413157
Feighner 1982,1,1,Placebo,BIN,45,-7.611179915051261,3.96,-1.9220151300634498
Feighner 1982,2,48,TCAs,BIN,48,-11.007446149065418,4.43,-2.484750823716799
Feighner 1982,3,49,TCAs,BIN,46,-11.895684252431842,4,-2.9739210631079604
Finkel 1999,1,42,SSRIs,BIN,33,-11.354669310728427,5,-2.2709338621456854
Finkel 1999,2,44,SSRIs,BIN,42,-12.36275523905542,4.4,-2.8097170997853227
Fonagy 2019,1,10,Cognitive and cognitive behavioural therapies individual,BF,20,-5.92,6.6314478057208595,-0.8927160664512652
Fonagy 2019,2,24,Self-help with support,BF,54,-4.080000000000002,8.842188643090578,-0.461424220256619
Fonagy 2019,3,28,Short-term psychodynamic psychotherapies individual,BF,73,-8.149999999999999,6.942830834753213,-1.1738727608346942
Forest Laboratories 2000,1,1,Placebo,CFB,125,-11.2,10.35,-1.0821256038647342
Forest Laboratories 2000,2,40,SSRIs,CFB,119,-13,9.79,-1.327885597548519
Forest Laboratories 2000,3,41,SSRIs,CFB,124,-12.9,10.03,-1.2861415752741776
Forest Laboratories 2010,1,1,Placebo,CFB,215,-8.5,8.8,-0.9659090909090908
Forest Laboratories 2010,2,41,SSRIs,CFB,319,-11.5,8.93,-1.2877939529675253
Forest Laboratories 2010,3,41,SSRIs,CFB,318,-11.6,10.7,-1.0841121495327104
Forest Research Institute 2003,1,1,Placebo,CFB,151,-10,10.57,-0.9460737937559129
Forest Research Institute 2003,2,41,SSRIs,CFB,143,-13.3,10.62,-1.2523540489642186
Forest Research Institute 2004a,1,41,SSRIs,CFB,96,-19.4,9.01,-2.153163152053274
Forest Research Institute 2004a,2,42,SSRIs,CFB,98,-19,10.39,-1.8286814244465832
Forest Research Institute 2005,1,1,Placebo,CFB,132,-12.4,10.34,-1.1992263056092844
Forest Research Institute 2005,2,41,SSRIs,CFB,131,-15.8,10.3,-1.5339805825242718
Forest Research Institute 2005,3,44,SSRIs,CFB,135,-16.7,10.46,-1.5965583173996174
Forlenza 2001,1,44,SSRIs,CFB,27,-15.85,11.89,-1.3330529857022708
Forlenza 2001,2,48,TCAs,CFB,28,-15.03,10.46,-1.4369024856596557
Freed 1999,1,43,SSRIs,BF,149,-17.7,9.050928129203104,-1.9556005469638404
Freed 1999,2,45,TCAs,BF,157,-15.080000000000002,9.43473900009958,-1.5983484015658345
Fu 2003,1,42,SSRIs,BF,30,-20.9,6.199193495931548,-3.371406298854263
Fu 2003,2,59,Acupuncture,BF,32,-23.9,6.392964883369843,-3.7384844803655315
Fudge 1990,1,7,Trazodone,BF,15,-17.1,4.439594576084623,-3.85170305687707
Fudge 1990,2,42,SSRIs,BF,17,-14.8,7.977468270071652,-1.855225179086431
GSK_29060/103,1,43,SSRIs,CFB,45,-17.8,10.73,-1.6589002795899348
GSK_29060/103,2,49,TCAs,CFB,36,-17.1,9.6,-1.7812500000000002
Gagiano 1993,1,42,SSRIs,BIN,45,-13.516735515679,5,-2.7033471031358003
Gagiano 1993,2,43,SSRIs,BIN,45,-14.524418306688649,4.7,-3.0903017673805633
Gater 2010,1,32,Peer support group,BF,39,-5,4.58257569495584,-1.091089451179962
Gater 2010,2,53,Any AD,BF,42,-1,6.950539547402058,-0.14387372277793536
Gater 2010,3,85,Peer support group + AD,BF,42,-5.699999999999999,5.502726596879041,-1.0358501189633598
Gentil 2000,1,45,TCAs,BIN,59,-14.365887335044206,3.2,-4.4893397922013145
Gentil 2000,2,52,SNRIs,BIN,57,-14.015070642716278,3,-4.671690214238759
Georgotas 1982,1,1,Placebo,BF,18,-11.200000000000005,8.826618831693139,-1.2688890518059903
Georgotas 1982,2,45,TCAs,BF,15,-20,7.253805897596103,-2.757173307687756
Gerber 2020,1,60,Exercise individual,BF,14,-10.5,11.4564392373896,-0.9165151389911681
Gerber 2020,2,61,Exercise individual,BF,11,-10.9,8.214621111165139,-1.326902343089805
Godlewska 2012,1,1,Placebo,BF,21,-3.3000000000000007,4.403407771260799,-0.7494195794306675
Godlewska 2012,2,41,SSRIs,BF,21,-4.399999999999999,6.990708118638626,-0.6294069106202158
Golden 2002_448,1,1,Placebo,CFB,101,-9.9,8.04,-1.2313432835820897
Golden 2002_448,2,43,SSRIs,CFB,102,-12.7,8.08,-1.5717821782178216
Golden 2002_448,3,43,SSRIs,CFB,104,-11.1,8.26,-1.3438256658595642
Golden 2002_449,1,1,Placebo,CFB,110,-10.2,8.18,-1.2469437652811735
Golden 2002_449,2,43,SSRIs,CFB,108,-13.3,8.21,-1.619975639464068
Golden 2002_449,3,43,SSRIs,CFB,110,-12.1,8.18,-1.4792176039119804
Goldstein 2002,1,1,Placebo,BF,70,-45.01,6.386706041854399,-7.047451331724547
Goldstein 2002,2,42,SSRIs,BF,33,-43.55,5.9662081992515805,-7.299443557042317
Goldstein 2002,3,51,SNRIs,BF,70,-46.53,5.796133226681948,-8.027765784575752
Goldstein 2004,1,1,Placebo,BIN,89,-6.14720239134599,5.08,-1.21007921089488
Goldstein 2004,2,43,SSRIs,BIN,87,-7.630987473996317,5.19,-1.4703251394983268
Goldstein 2004,3,51,SNRIs,BIN,91,-8.994182731150115,4.66,-1.9300821311480933
Gual 2003,1,1,Placebo,BIN,39,-8.852950143030453,8,-1.1066187678788066
Gual 2003,2,44,SSRIs,BIN,44,-10.164945081501168,6.9,-1.473180446594372
Guelfi 1995,1,1,Placebo,CFB,47,-4.8,11,-0.43636363636363634
Guelfi 1995,2,52,SNRIs,CFB,46,-14.2,9.6,-1.4791666666666667
Guelfi 2001,1,6,Mirtazapine,BF,78,-89.30000000000001,6.575853903457053,-13.57998539977497
Guelfi 2001,2,52,SNRIs,BF,79,-85.7,6.835320779985285,-12.537816842618541
Hamamci 2006,1,3,No treatment,BF,11,-6.690000000000001,8.961004407989096,-0.7465680960982005
Hamamci 2006,2,14,Cognitive and cognitive behavioural therapies group,BF,10,-16.8,7.7338024283013604,-2.172282025012879
Hamdan-Mansour 2009,1,3,No treatment,BF,36,-3.1000000000000014,8.815327560561775,-0.35166021667406394
Hamdan-Mansour 2009,2,19,Psychoeducation group,BF,44,-13.3,7.769813382572326,-1.7117528240551918
Hao 2014,1,43,SSRIs,CFB,132,-12,7.1,-1.6901408450704227
Hao 2014,2,51,SNRIs,CFB,127,-13.8,6.6,-2.0909090909090913
Hashemi 2012,1,42,SSRIs,CFB,48,-16.96,4.96,-3.4193548387096775
Hashemi 2012,2,50,TCAs,CFB,49,-13.14,4.68,-2.807692307692308
Hatcher 2018,1,3,No treatment,CFB,22,-7.1,7.5,-0.9466666666666667
Hatcher 2018,2,25,Self-help with support,CFB,22,-9.4,6.7,-1.4029850746268657
Heller 2009,1,42,SSRIs,BF,14,-14.03,4.268172911211541,-3.2871208106743546
Heller 2009,2,52,SNRIs,BF,15,-15.07,3.1800471694614845,-4.738923417463642
Hemat-Far 2012,1,3,No treatment,BF,10,-1,4.803123983409132,-0.20819783196398484
Hemat-Far 2012,2,60,Exercise individual,BF,10,-8.399999999999999,6.255397669213365,-1.3428402867720997
Hermens 2007,1,3,No treatment,BF,96,-56.9,10.513314520148212,-5.412184700738683
Hermens 2007,2,43,SSRIs,BF,85,-57.599999999999994,10.278161045120235,-5.60411534195086
Hersen 1984,1,36,Interpersonal psychotherapy (IPT) individual + placebo,BF,22,-12.59,6.72995542332934,-1.8707404742023788
Hersen 1984,2,45,TCAs,BF,14,-17.29,7.384517587493446,-2.3413851744740457
Hewett 2009,1,1,Placebo,BIN,197,-14.744105728311698,4.77,-3.0910074902120965
Hewett 2009,2,52,SNRIs,BIN,187,-16.68812021374118,4.65,-3.5888430567185328
Hewett 2010,1,1,Placebo,CFB,186,-13.2,10.64,-1.2406015037593983
Hewett 2010,2,52,SNRIs,CFB,193,-17,10.56,-1.6098484848484849
Hieronymus 2016_PZ/109,1,1,Placebo,BF,103,-7.9,6.954135460285484,-1.1360146843725254
Hieronymus 2016_PZ/109,2,44,SSRIs,BF,104,-8.7,6.7734776887504395,-1.2844214449025464
Hieronymus 2016_PZ/111,1,42,SSRIs,BF,108,-10.999999999999998,6.161168720299744,-1.7853755511932876
Hieronymus 2016_PZ/111,2,44,SSRIs,BF,106,-11.3,6.173329733620261,-1.8304546310655718
Higuchi 2009,1,1,Placebo,CFB,145,-8.3,5.8,-1.4310344827586208
Higuchi 2009,2,43,SSRIs,CFB,148,-9.4,6.9,-1.3623188405797102
Higuchi 2009,3,51,SNRIs,CFB,74,-10,6.4,-1.5625
Higuchi 2011,1,1,Placebo,CFB,171,-10.4,8.11,-1.282367447595561
Higuchi 2011,2,43,SSRIs,CFB,158,-12.8,7.67,-1.66883963494133
Higuchi 2011,3,43,SSRIs,CFB,83,-12.5,7.11,-1.7580872011251758
Higuchi 2016,1,1,Placebo,CFB,182,-12.41,10.12,-1.2262845849802373
Higuchi 2016,2,52,SNRIs,CFB,172,-15.3,10.1,-1.5148514851485149
Higuchi 2016,3,52,SNRIs,CFB,176,-15.05,10.08,-1.4930555555555556
Hojatifar 2017,1,3,No treatment,BF,15,-3,4.5379841339519915,-0.661086489385187
Hojatifar 2017,2,31,Mindfulness or meditation group,BF,15,-36.8,10.643927846429628,-3.4573702989112327
Hollon 1992,1,10,Cognitive and cognitive behavioural therapies individual,BF,25,-10.8,8.688498144098322,-1.2430226514274991
Hollon 1992,2,48,TCAs,BF,57,-9.6,8.660254037844387,-1.1085125168440813
Hollon 1992,3,71,Cognitive and cognitive behavioural therapies individual + AD,BF,25,-13.2,8.662563131083086,-1.5237984185807134
Hong 2003,1,6,Mirtazapine,BIN,66,-11.937761277913982,5.1,-2.3407375054733297
Hong 2003,2,42,SSRIs,BIN,66,-11.556236469528573,5.2,-2.222353167217033
Hopko 2003,1,68,Behavioural therapies individual + AD,BF,10,-16,11.37673063757774,-1.4063794344529383
Hopko 2003,2,79,Counselling individual + AD,BF,15,-6.900000000000002,15.516442891333051,-0.44468954955224327
Hoyberg 1996,1,6,Mirtazapine,BF,56,-15.3,10.135580891098446,-1.5095336088173492
Hoyberg 1996,2,45,TCAs,BF,59,-17.3,8.28673639015988,-2.0876735044381234
Hsu 2011,1,40,SSRIs,BF,21,-25.8,8.674675786448736,-2.9741745553538523
Hsu 2011,2,44,SSRIs,BF,21,-21.500000000000004,9.814784765851975,-2.1905727443768033
Hunter 2011,1,1,Placebo,BF,11,-8.64,7.141897506965498,-1.2097625304162376
Hunter 2011,2,42,SSRIs,BF,12,-9.670000000000002,7.145984886633892,-1.353207451933899
Husain 2014,1,14,Cognitive and cognitive behavioural therapies group,BIN,33,-10.368159706717856,4.1,-2.528819440662892
Husain 2014,2,42,SSRIs,BIN,33,-11.306892422740844,3.7,-3.0559168710110387
Hwang 2004,1,43,SSRIs,BIN,53,-21.405528119660467,5.9,-3.6280556135017736
Hwang 2004,2,52,SNRIs,BIN,52,-18.914039494975498,5.8,-3.261041292237155
Jacobson 1996,1,8,Behavioural therapies individual,BF,56,-20.200000000000003,7.336893075410054,-2.75320899355904
Jacobson 1996,2,10,Cognitive and cognitive behavioural therapies individual,BF,43,-18.5,8.28673639015988,-2.2324832272893222
Jacobson 1996,3,10,Cognitive and cognitive behavioural therapies individual,BF,50,-19.700000000000003,8.448076704197234,-2.331891706216695
Jamison 1995,1,4,Waitlist,BF,39,-0.6000000000000014,4.1581245772583575,-0.1442958210731649
Jamison 1995,2,20,Self-help,BF,33,-10.6,5.0408332644514235,-2.1028269422741084
Janakiramaiah 2000,1,48,TCAs,BF,15,-16.4,7.061869440877536,-2.3223312378261793
Janakiramaiah 2000,2,65,Yoga group,BF,15,-16.8,7.765951326141569,-2.1632893762092253
Jefferson 2000,1,1,Placebo,CFB,101,-12.1,11.05,-1.095022624434389
Jefferson 2000,2,40,SSRIs,CFB,104,-15,10.2,-1.4705882352941178
Jefferson 2000,3,40,SSRIs,CFB,95,-15.3,10.72,-1.4272388059701493
Jefferson 2000,4,43,SSRIs,CFB,97,-13.8,10.83,-1.2742382271468145
Jeong 2015,1,41,SSRIs,BF,52,-19.5,6.44437739428721,-3.025893551374923
Jeong 2015,2,41,SSRIs,BF,49,-17.2,7.767238891652554,-2.21442912210217
Jiahui 2006,1,42,SSRIs,BF,30,-17.119999999999997,10.042673946713592,-1.704725264490183
Jiahui 2006,2,59,Acupuncture,BF,30,-17.66,9.81803951917082,-1.7987297734457959
Jordan 2014,1,11,Cognitive and cognitive behavioural therapies individual,BIN,25,-12.473021648423204,7.2,-1.732364117836556
Jordan 2014,2,13,Cognitive and cognitive behavioural therapies individual,BIN,23,-15.239795644330377,7.7,-1.9791942395234254
Judd 2001,1,52,SNRIs,BF,19,-19.700000000000003,11.35825690852254,-1.734421061141726
Judd 2001,2,77,Interpersonal psychotherapy (IPT) individual + AD,BF,12,-23.8,9.880789442144794,-2.408714418959808
Kampman 1978,1,45,TCAs,BF,25,-13.3,5.894913061275798,-2.256182552948723
Kampman 1978,2,47,TCAs,BF,28,-16.700000000000003,7.276475795328396,-2.2950670722661717
Kang 2009,1,6,Mirtazapine,CFB,73,-12,10.9,-1.1009174311926606
Kang 2009,2,52,SNRIs,CFB,53,-10.9,6,-1.8166666666666667
Kanter 2015,1,8,Behavioural therapies individual,BF,21,-10.05,7.957832619501368,-1.262906683331287
Kanter 2015,2,33,Any psychotherapy,BF,22,-7.99,8.408156754009761,-0.9502677261802539
Kasper 2005a,1,1,Placebo,BIN,180,-14.007323334662487,4.2,-3.3350769844434494
Kasper 2005a,2,41,SSRIs,BIN,174,-13.60592938343308,3.8,-3.5805077324823897
Kasper 2005a,3,42,SSRIs,BIN,164,-13.008578374547865,3.8,-3.423310098565228
Kasper 2005b,1,7,Trazodone,CFB,55,-14.6,4.89,-2.9856850715746424
Kasper 2005b,2,43,SSRIs,CFB,53,-15,4.95,-3.0303030303030303
Kasper 2012,1,1,Placebo,CFB,71,-13.4,9.27,-1.4455231930960086
Kasper 2012,2,41,SSRIs,CFB,139,-19,10.61,-1.7907634307257305
Katona 2012,1,1,Placebo,CFB,145,-10.3,9.63,-1.0695742471443406
Katona 2012,2,51,SNRIs,CFB,147,-15.8,9.7,-1.6288659793814435
Katz 1990,1,1,Placebo,BF,11,-2.5,5.0921508225896055,-0.49095167977146226
Katz 1990,2,50,TCAs,BF,12,-8.6,5.8642987645583,-1.4665009995696823
Katz 1993_Protocol 01,1,1,Placebo,CFB,104,-8,7.76,-1.0309278350515465
Katz 1993_Protocol 01,2,45,TCAs,CFB,93,-13.7,7.76,-1.7654639175257731
Katz 1993_Protocol 03,1,1,Placebo,CFB,94,-8.7,7.76,-1.1211340206185567
Katz 1993_Protocol 03,2,45,TCAs,CFB,95,-12.9,7.76,-1.6623711340206186
Kay-Lambkin 2009,1,3,No treatment,BF,21,-9.91,10.053273098846962,-0.9857486116771866
Kay-Lambkin 2009,2,11,Cognitive and cognitive behavioural therapies individual,BF,23,-21.869999999999997,10.129318831984705,-2.1590790420124293
Kay-Lambkin 2009,3,21,Self-help,BF,23,-11.48,11.186022528137515,-1.0262807866802528
Kay-Lambkin 2011/2017,1,11,Cognitive and cognitive behavioural therapies individual,BF,88,-11.9,10.474731500138798,-1.136067306340245
Kay-Lambkin 2011/2017,2,17,Counselling individual,BF,89,-8.3,10.371113729971338,-0.8002997764853302
Kay-Lambkin 2011/2017,3,21,Self-help,BF,97,-12.9,11.396051947933548,-1.131970971959211
Keller 2006_Study 062,1,1,Placebo,CFB,154,-14,8.87,-1.5783540022547915
Keller 2006_Study 062,2,43,SSRIs,CFB,161,-17.25,8.05,-2.142857142857143
Kennedy 2005,1,41,SSRIs,CFB,96,-15.7,7.84,-2.002551020408163
Kennedy 2005,2,42,SSRIs,CFB,98,-16.4,8.91,-1.8406285072951738
Kennedy 2007,1,10,Cognitive and cognitive behavioural therapies individual,BF,12,-11.5,6.593936608733815,-1.744026471951216
Kennedy 2007,2,52,SNRIs,BF,12,-14.09,8.057915363169311,-1.7485912131072783
Khan 1991,1,1,Placebo,BF,26,-4,8.228608630868283,-0.48610891335804357
Khan 1991,2,52,SNRIs,BF,23,-9.599999999999998,6.946221994724902,-1.3820462414374932
Khan 1991,3,52,SNRIs,BF,22,-8.5,8.506468127254696,-0.9992396224663475
Khan 1991,4,52,SNRIs,BF,22,-9.1,8.057294831393474,-1.1294113210979764
Khan 1995,1,1,Placebo,CFB,26,-6.3,8.1,-0.7777777777777778
Khan 1995,2,6,Mirtazapine,CFB,26,-12,7.8,-1.5384615384615385
Khan 2007,1,41,SSRIs,CFB,110,-19.2,8.6,-2.2325581395348837
Khan 2007,2,51,SNRIs,CFB,91,-19.3,9.1,-2.120879120879121
Kheirabadi 2020,1,13,Cognitive and cognitive behavioural therapies individual,BF,16,-24.200000000000003,17.38016110397139,-1.3923921565071264
Kheirabadi 2020,2,40,SSRIs,BF,12,-18,11.95317531035164,-1.5058760147533112
Khoshnab 2017,1,3,No treatment,CFB,15,-1.56,3.09838667696593,-0.5034878350069648
Khoshnab 2017,2,44,SSRIs,CFB,15,-1.92,6.19677335393187,-0.3098386676965932
Khoshnab 2017,3,60,Exercise individual,CFB,15,-2.13,6.19677335393187,-0.3437272719759081
Khoshnab 2017,4,88,Exercise individual + AD,CFB,15,-4.53,12.548466041712,-0.3610002995539021
Kim 2011,1,6,Mirtazapine,BIN,30,-12.438014998554603,2.9,-4.28897068915676
Kim 2011,2,43,SSRIs,BIN,30,-12.749109167956826,2.9,-4.3962445406747674
Kinoshita 2009,1,1,Placebo,CFB,70,-10.4,7.5,-1.3866666666666667
Kinoshita 2009,2,6,Mirtazapine,CFB,65,-13.3,6.8,-1.9558823529411766
Kinoshita 2009,3,6,Mirtazapine,CFB,66,-13.8,6.9,-2
Kinoshita 2009,4,6,Mirtazapine,CFB,69,-11.9,7.6,-1.5657894736842106
Komulainen 2018,1,1,Placebo,BF,15,-2.1999999999999993,4.567001204291499,-0.48171653599143205
Komulainen 2018,2,41,SSRIs,BF,17,-1.900000000000002,4.272247651997716,-0.44473077283138207
Kramer 2014,1,4,Waitlist,BF,132,-4.490000000000002,8.682419017762273,-0.5171369857656575
Kramer 2014,2,15,Problem solving individual,BF,131,-10.3,9.793855216409929,-1.0516798311192113
Kranzler 2006_Group A,1,1,Placebo,CFB,100,-9.6,7.8,-1.2307692307692308
Kranzler 2006_Group A,2,44,SSRIs,CFB,89,-10.8,6.5,-1.6615384615384616
Krejtz 2018,1,2,Attention placebo,BF,25,-8.189999999999998,9.971835337589566,-0.8213132009036683
Krejtz 2018,2,22,Self-help,BF,26,-12.97,9.223887466789694,-1.4061316388234422
