studyid,arm,treatment,class,data_type,n,mean_change,sd_change,approx_smd
Wang 2013,1,43,SSRIs,BF,24,-11.42,7.5344276491316835,-1.515709026858346
Wang 2013,2,57,Acupuncture,BF,24,-10.95,6.08092920531065,-1.8007116396680052
Wang 2014a,1,39,SSRIs,BF,26,-13.87,1.7359147444503122,-7.990023729184936
Wang 2014a,2,96,Acupuncture + AD,BF,45,-15.849999999999998,3.711401352589072,-4.270624083526576
Wang 2014c,1,1,Placebo,BF,153,-78.81,6.639971794448689,-11.869026321149233
Wang 2014c,2,41,SSRIs,BF,152,-80.72999999999999,6.7697195831081345,-11.925161597747449
Ward 2000/King 2000,1,5,TAU,BF,67,-8.2,11.072939989000211,-0.7405440658168316
Ward 2000/King 2000,2,11,Cognitive and cognitive behavioural therapies individual,BF,63,-13.3,9.82242332624694,-1.3540446749490498
Ward 2000/King 2000,3,17,Counselling individual,BF,67,-12.499999999999998,8.970507232035432,-1.393455205672212
Wernicke 1987,1,1,Placebo,CFB,48,-5.7,8.6,-0.6627906976744187
Wernicke 1987,2,42,SSRIs,CFB,97,-9.8,8.5,-1.1529411764705884
Wernicke 1987,3,42,SSRIs,CFB,97,-9.6,8.2,-1.1707317073170733
Wernicke 1987,4,42,SSRIs,CFB,103,-7.2,9.1,-0.7912087912087913
Wernicke 1988,1,1,Placebo,CFB,77,-7,8.6,-0.813953488372093
Wernicke 1988,2,42,SSRIs,CFB,91,-10,8.4,-1.1904761904761905
Wernicke 1988,3,42,SSRIs,CFB,92,-11.2,8.2,-1.3658536585365855
Wheatley 1998,1,6,Mirtazapine,BF,60,-66.2,6.024330470286226,-10.988772997516973
Wheatley 1998,2,42,SSRIs,BF,63,-62.5,5.9662081992515805,-10.475665265560158
White 1984,1,1,Placebo,CFB,45,-17,8.8,-1.9318181818181817
White 1984,2,50,TCAs,CFB,40,-11.7,8.2,-1.4268292682926829
Whitmyer 2007,1,51,SNRIs,CFB,202,-7.43,6.4,-1.1609375
Whitmyer 2007,2,51,SNRIs,CFB,195,-7.46,6.42,-1.161993769470405
Whitmyer 2007,3,51,SNRIs,CFB,198,-8.26,6.47,-1.276661514683153
Wilson 1982,1,1,Placebo,BF,12,-10.33,9.632491889433387,-1.0724120111984483
Wilson 1982,2,38,Relaxation individual + placebo,BF,11,-9.27,9.000072221932443,-1.0299917346673912
Wilson 1982,3,45,TCAs,BF,10,-11.2,8.430284692701665,-1.3285435081090624
Wilson 1982,4,67,Behavioural therapies individual + AD,BF,12,-13.659999999999998,8.632189756950433,-1.5824489943587363
Wilson 1982,5,86,Relaxation individual + AD,BF,10,-14.6,5.509455508487204,-2.649989636454818
Wright 2005,1,4,Waitlist,CFB,15,-1.9,5.5,-0.34545454545454546
Wright 2005,2,11,Cognitive and cognitive behavioural therapies individual,CFB,15,-8.3,6.6,-1.2575757575757578
Wright 2005,3,25,Self-help with support,CFB,15,-7.5,6.3,-1.1904761904761905
Xiaoling 2018,1,41,SSRIs,BF,65,-10.25,2.742827008763039,-3.737020223022577
Xiaoling 2018,2,42,SSRIs,BF,65,-8.329999999999998,3.247629905023046,-2.5649474366263685
Yevtushenko 2007,1,40,SSRIs,CFB,108,-25.19,8.11,-3.106041923551172
Yevtushenko 2007,2,41,SSRIs,CFB,108,-28.7,8.11,-3.5388409371146734
Zhang 2007a,1,43,SSRIs,BF,20,-18.6,5.1643005334701435,-3.6016494159184345
Zhang 2007a,2,95,Acupuncture + AD,BF,22,-22,5.2848841046895245,-4.162815979347281
Zhang 2014,1,1,Placebo,CFB,180,-8.29,6.5,-1.2753846153846153
Zhang 2014,2,7,Trazodone,CFB,183,-11.07,6.5,-1.7030769230769232
Zhang 2019,1,6,Mirtazapine,BF,79,-15.9,2.066397831977183,-7.694549304083652
Zhang 2019,2,42,SSRIs,BF,79,-14.8,2.1656407827707715,-6.834005028786231
Zhao 2006,1,7,Trazodone,CFB,55,-15.4,11.1,-1.3873873873873874
Zhao 2006,2,42,SSRIs,CFB,58,-20.7,9.5,-2.1789473684210527
Zhao 2019a,1,39,SSRIs,BF,156,-12.88,5.346802782972269,-2.4089162295303614
Zhao 2019a,2,93,Acupuncture + AD,BF,160,-15.820000000000002,5.045829961463228,-3.1352622107409265
Zhao 2019a,3,96,Acupuncture + AD,BF,161,-14.56,5.5021177740938985,-2.646253787687737
Zivkov 1995,1,6,Mirtazapine,BF,113,-15.2,8.748142660016468,-1.7375116742747982
Zivkov 1995,2,45,TCAs,BF,111,-15.6,8.662563131083086,-1.8008526765044794
Zu 2014,1,5,TAU,CFB,16,-7.8,7,-1.1142857142857143
Zu 2014,2,10,Cognitive and cognitive behavioural therapies individual,CFB,12,-9.6,2.4,-4
Zu 2014,3,39,SSRIs,CFB,25,-6.9,6.8,-1.0147058823529413
Zu 2014,4,70,Cognitive and cognitive behavioural therapies individual + AD,CFB,43,-9.8,4.7,-2.0851063829787235
