parameter,estimate,se,pval
intrcpt,0.4024830667602545,0.06583492320452201,9.745764189729524e-10
type_BF,0.13732385862477448,0.09077223961730575,0.13032035139667195
type_BIN,-0.1200165456193288,0.16466725351599928,0.46609781437501713
