.trtb,.trta,parameter,mean,sd,2.5%,25%,50%,75%,97.5%,Bulk_ESS,Tail_ESS,Rhat,model
Mindfulness or meditation group,Placebo,d[Mindfulness or meditation group],-18.53087044799467,6.740721751241602,-32.04507270099496,-23.02888030808213,-18.4365566215872,-14.04906271310968,-5.57143052410704,6632.706774568127,2911.480224688708,1.000197978501545,A_all_M0_base
Mirtazapine,Placebo,d[Mirtazapine],-6.500939499550067,1.7745380562300683,-9.981339832136419,-7.677777116194432,-6.502877694835059,-5.310324907109952,-2.979853982605578,1173.4623348284786,2002.5000436323705,1.0028332005576526,A_all_M0_base
Music therapy group,Placebo,d[Music therapy group],-1.3546565478219819,6.7956588408127265,-14.500553494451552,-6.018132253142787,-1.396520524042591,3.3698777475838,11.923299869664174,5059.843184336495,3213.6336459296176,0.9997503353155871,A_all_M0_base
No treatment,Placebo,d[No treatment],1.642907704857398,2.6049910579146762,-3.5110825359876014,-0.12384715803974142,1.6270643012783756,3.343046943619978,6.849311662966877,2408.1324720212074,2675.1669623777047,1.0019679790638731,A_all_M0_base
Peer support group,Placebo,d[Peer support group],-2.1166054872779383,6.1439907829858615,-14.030928328029965,-6.222059900528643,-2.1534284247097815,2.0730268364198396,10.00795634883463,5741.921986383534,3291.3704054957384,1.0014790593032559,A_all_M0_base
Peer support group + AD,Placebo,d[Peer support group + AD],-2.591023432595719,6.1560131789850745,-14.573439305893606,-6.630763973419009,-2.642309811170195,1.4877140195442438,9.815414700381845,5763.219522822996,2781.278594866138,1.0000556102758307,A_all_M0_base
Problem solving group,Placebo,d[Problem solving group],-13.25238037744351,5.570716755653287,-23.944506026243843,-17.094117437741023,-13.259149436455596,-9.528579324492318,-2.551811519338256,3842.8551180098,2911.3449254445163,1.0008703223814501,A_all_M0_base
Problem solving individual,Placebo,d[Problem solving individual],-5.6838217582667,3.8289031844647634,-13.420777442629502,-8.212003977889358,-5.654428180987267,-3.0924077795210843,1.7188656343110023,2345.5345852106057,2456.6248529436443,1.0006347632374468,A_all_M0_base
Psychoeducation group,Placebo,d[Psychoeducation group],-5.0984067503081585,6.409042377859425,-17.510857298123863,-9.291045702030964,-5.07810208246498,-0.9586311352424788,7.750131308900252,5873.73989226563,2714.110385699542,1.0064593528152748,A_all_M0_base
Psychoeducation group + AD,Placebo,d[Psychoeducation group + AD],-0.33598957628874493,6.061102472845399,-11.975478806273323,-4.359396968830637,-0.31763439901515533,3.848995580228725,11.2429007296351,4962.570526765345,3170.0327313797948,1.0018734800646107,A_all_M0_base
Relaxation individual + AD,Placebo,d[Relaxation individual + AD],-4.071474472275638,5.841935600578131,-15.285024783221129,-8.023683205174105,-4.179973068278877,-0.08737031258477437,7.62736623088202,6927.609958076814,2744.1221657599044,1.0029399568326525,A_all_M0_base
Relaxation individual + placebo,Placebo,d[Relaxation individual + placebo],-0.17331203430084396,5.940553650204708,-12.130225246251593,-4.223320941793769,-0.21588801330489815,3.8563084615630654,11.192835817388008,4129.856099853465,3113.8824323586705,1.0014118931902558,A_all_M0_base
Self-help,Placebo,d[Self-help],-2.1795165638908136,3.232659299410877,-8.541305206864054,-4.294883189660586,-2.210583127711689,-0.005307581343880892,4.22588866892162,2088.2716680938843,2473.9473731314392,1.0000984914955908,A_all_M0_base
Self-help with support,Placebo,d[Self-help with support],-2.7815656632776498,3.2591850142084158,-8.989608094683678,-4.980684951299033,-2.8692239844294374,-0.5440916001915923,3.561143792656641,2266.765945699869,2594.232117370658,1.000448556876109,A_all_M0_base
Sham acupuncture,Placebo,d[Sham acupuncture],-1.3838696641888018,4.467744510461425,-10.114529324006979,-4.384843234678907,-1.4886654080087485,1.7063013999643286,7.29759931666445,2819.7136972967705,2623.5702436329348,1.0006733516754573,A_all_M0_base
Short-term psychodynamic psychotherapies individual,Placebo,d[Short-term psychodynamic psychotherapies individual],-3.9843350020247406,3.8567664848457364,-11.412127675078018,-6.584907633739842,-3.9708802000449306,-1.3561235728413334,3.621143341264225,3362.295672843597,3045.4066389574095,1.0024841717583755,A_all_M0_base
Short-term psychodynamic psychotherapies individual + AD,Placebo,d[Short-term psychodynamic psychotherapies individual + AD],0.03434916901515982,5.4550451044250705,-10.75580550231037,-3.6025524494632597,0.06075118821935047,3.7281926598409285,10.440189024624438,4449.226383349563,2953.2941456660014,1.0016093407710807,A_all_M0_base
SNRIs,Placebo,d[SNRIs],-8.402469938419719,1.0093629118754663,-10.32458634547678,-9.093632590089257,-8.404883483960745,-7.715048783753928,-6.436876379095306,449.98482918758157,956.3110198282316,1.0059887462286765,A_all_M0_base
SSRIs,Placebo,d[SSRIs],-5.162964899104861,0.6931807478218339,-6.5095536401079945,-5.641232322073734,-5.162207916924354,-4.68511484784961,-3.7964867556986377,352.160458855561,714.3005608710332,1.0044991378173322,A_all_M0_base
TAU,Placebo,d[TAU],-1.127321797031409,3.2696701794845153,-7.401878219540423,-3.38026688766796,-1.1752946626060812,1.0873870972451842,5.4272532043320245,2804.2486910174057,3007.5751059662066,1.0003868509497558,A_all_M0_base
TCAs,Placebo,d[TCAs],-5.286500860911432,0.9655575457731789,-7.210733359344026,-5.930202185473439,-5.277009858666515,-4.621282829778831,-3.433880064762289,549.1779826342,1055.9778529694272,1.0030199680574003,A_all_M0_base
Trazodone,Placebo,d[Trazodone],-3.552716545518335,2.3159844912112537,-8.11890983657948,-5.120100765593113,-3.5072768659473095,-1.9783218113858183,0.928280434517604,1549.2895636331102,2342.2984830633836,1.0008277623210777,A_all_M0_base
Waitlist,Placebo,d[Waitlist],5.7687145368040555,2.6426935725516536,0.4308667635452372,4.069765681755163,5.8205752959684585,7.463958177221146,10.990729073307778,2098.006241949199,2767.1060840966093,1.0004477564282903,A_all_M0_base
Yoga group,Placebo,d[Yoga group],-2.9946424033875028,5.15666702981916,-13.216401293621049,-6.453241084869223,-3.0194991396268387,0.6045675072573795,6.756450658735128,3799.6517030329187,3187.0716280248457,1.0009423352868598,A_all_M0_base
Yoga group + AD,Placebo,d[Yoga group + AD],-3.172250081241288,6.556991567281344,-15.856840685212454,-7.6576991869968545,-3.185244824141349,1.1842937393356794,9.70993474708053,6348.537044939767,3120.4632703203824,0.9999884506181526,A_all_M0_base
