studyid,data_type,country,duration_weeks,mean_age,pct_female,baseline_scale,baseline_mean,baseline_sd,rob_sequence,rob_allocation,rob_blind_pp,rob_blind_outcome,rob_attrition,rob_reporting,rob_other,rob_score_sequence,rob_score_allocation,rob_score_blind_pp,rob_score_blind_out,rob_score_attrition,rob_high_any,full_reference
Balestrieri 1971,BF,Italy,3,NA,NA,HAMD,24.18,6.72,Unclear risk,Unclear risk,Low risk,Low risk,Low risk,High risk,Unclear risk,1,1,0,0,0,0,"Balestrieri A, Benassi P, Cassano GB, Castrogiovanni P, Catalano A, Colombi A, Conforto C, Del Soldato G, Giberti F, Lucchelli PE, Muratorio A. Clinical comparative evaluation of maprotiline, a new antidepressant drug. International Pharmacopsychiatry. 1971;6:236-48."
Basterzi 2009,BF,Turkey,6,31.5,70,HAMD,26.09,4.21,Unclear risk,Unclear risk,Unclear risk,Unclear risk,Low risk,High risk,Low risk,1,1,1,1,0,0,"Başterzi AD, Yazici K, Aslan E, Delialioğlu N, Taşdelen B, Acar ŞT, Yazici A. Effects of fluoxetine and venlafaxine on serum brain derived neurotrophic factor levels in depressed patients. Progress in Neuro-Psychopharmacology and Biological Psychiatry. 2009 Mar 17;33(2):281-5."
Baune 2018,CFB,"Estonia, Finland, Germany, & Lithuania",8,45.7,64,MADRS,31.54,3.34,Unclear risk,Unclear risk,Low risk,High risk,Low risk,Low risk,High risk,1,1,0,2,0,1,"Baune BT, Sluth LB, Olsen CK. The effects of vortioxetine on cognitive performance in working patients with major depressive disorder: a short-term, randomized, double-blind, exploratory study. Journal of affective disorders. 2018 Mar 15;229:421-8."
Beach 1992,BF,US,15,NA,100,BDI,28.3,6.2,Unclear risk,Unclear risk,High risk,Unclear risk,Unclear risk,High risk,Low risk,1,1,2,1,1,1,"Beach SR, O'Leary KD. Treating depression in the context of marital discord: Outcome and predictors of response of marital therapy versus cognitive therapy. Behavior therapy. 1992 Sep 1;23(4):507-28."
Beasley 1991a,CFB,US,6,40,67,HAMD,23.84,3.19,Unclear risk,Unclear risk,Low risk,Unclear risk,Low risk,Unclear risk,High risk,1,1,0,1,0,0,"Beasley CM, Dornseif BE, Pultz JA, Bosomworth JC, Sayler ME. Fluoxetine versus trazodone: efficacy and activating-sedating effects. The Journal of clinical psychiatry. 1991 Jul.;52(7):294-9."
Beasley 1993b,CFB,US,5,44.8,70,HAMD,28.24,5.74,Unclear risk,Unclear risk,Low risk,Unclear risk,High risk,Unclear risk,High risk,1,1,0,1,2,1,"Beasley CM, Sayler ME, Potvin JH. Fluoxetine versus amitriptyline in the treatment of major depression: a multicenter trial. International clinical psychopharmacology. 1993 Fall;8(3):143-9."
Benkert 1996,BIN,"Belgium, France, Germany, Italy, & Switzerland",6,47.4,68,MADRS,36.36,5.96,Unclear risk,Unclear risk,Low risk,Unclear risk,Unclear risk,High risk,High risk,1,1,0,1,1,0,"Benkert O, Gründer G, Wetzel H, Hackett D. A randomized, double-blind comparison of a rapidly escalating dose of venlafaxine and imipramine in inpatients with major depression and melancholia. Journal of Psychiatric Research. 1996 Nov 1;30(6):441-51."
Benkert 2000,BIN,Germany,6,47.3,63,HAMD,22.400000000000002,3.24,Unclear risk,Unclear risk,Low risk,Unclear risk,Low risk,High risk,High risk,1,1,0,1,0,0,"Benkert O, Szegedi A, Kohnen R. Mirtazapine compared with paroxetine in major depression. Journal of Clinical Psychiatry. 2000 Sep 9;61(9):656-63."
Bersani 1994,BF,Italy,8,47.1,63,HAMD,32.51,5.1,Unclear risk,Unclear risk,Low risk,Unclear risk,Low risk,High risk,High risk,1,1,0,1,0,0,"Bersani G, Rapisarda V, Ciani N, Bertolino A, Sorge G. A double-blind comparative study of sertraline and amitriptyline in outpatients with major depressive episodes. Human Psychopharmacology: Clinical and Experimental. 1994 Jan;9(1):63-68."
Bhargava 2012,BF,India,12,36.2,52,HAMD,26.47,2.12,Unclear risk,Unclear risk,High risk,Unclear risk,Low risk,Unclear risk,Unclear risk,1,1,2,1,0,1,"Bhargava J, Khan ZY. Comparative Evaluation of the efficacy and side effects of imipramine, sertraline and an ayurvedic formulation in patients of depression. J Clin Diagn Res. 2012 Apr;6(2):220-5."
Bielski 2004,CFB,US,8,37.4,58,MADRS,30.35,4.81,High risk,Unclear risk,Low risk,Low risk,Low risk,Low risk,High risk,2,1,0,0,0,1,"Bielski RJ, Ventura D, Chang CC. A double-blind comparison of escitalopram and venlafaxine extended release in the treatment of major depressive disorder. Journal of Clinical Psychiatry. 2004 Sep 1;65(9):1190-6."
Binnemann 2008,CFB,"US, Serbia and Montenegro, & the Russian Federation",6,49,39,HAMD,23.43,3.98,Unclear risk,Unclear risk,Low risk,High risk,Low risk,Low risk,High risk,1,1,0,2,0,1,"Binneman B, Feltner D, Kolluri S, Shi Y, Qiu R, Stiger T. A 6-week randomized, placebo-controlled trial of CP-316,311 (a selective CRH 1 antagonist) in the treatment of major depression. American Journal of Psychiatry. 2008 May;165(5):617-20."
Bjerkenstedt 2005,CFB,Sweden,4,50.9,79,HAMD,24.51,4.07,Unclear risk,Unclear risk,Low risk,Unclear risk,Low risk,Unclear risk,High risk,1,1,0,1,0,0,"Bjerkenstedt L, Edman GV, Alken RG, Mannel M. Hypericum extract LI 160 and fluoxetine in mild to moderate depression: A randomized, placebo–controlled multi–center study in outpatients. European Archives of Psychiatry and Clinical Neuroscience. 2005 Feb;255:40-7."
Blackburn 1997,BF,UK,16,39.3,64,HAMD,20.27,4.18,High risk,Unclear risk,High risk,Low risk,Low risk,Unclear risk,Low risk,2,1,2,0,0,1,"Blackburn IM, Moore RG. Controlled acute and follow-up trial of cognitive therapy and pharmacotherapy in out-patients with recurrent depression. The British Journal of Psychiatry. 1997 Oct;171(4):328-34."
Blashki 1971,BF,Australia,4,36.7,100,HAMD,17.62,4.89,Unclear risk,Low risk,Low risk,Low risk,Unclear risk,Unclear risk,Unclear risk,1,0,0,0,1,0,"Blashki TG, Mowbray R, Davies B. Controlled trial of amitriptyline in general practice. Br Med J. 1971 Jan 16;1(5741):133-8."
Blom 2007,BF,Netherlands,12,40,58,MADRS,29.66,5.99,Unclear risk,Unclear risk,Unclear risk,Unclear risk,Unclear risk,High risk,High risk,1,1,1,1,1,0,"Blom MB, Jonker K, Dusseldorp E, Spinhoven P, Hoencamp E, Haffmans J, van Dyck R. Combination treatment for acute depression is superior only when psychotherapy is added to medication. Psychotherapy and Psychosomatics. 2007;76(5):289-97."
Blumenthal 2007/Hoffman 2011,CFB,US,16,52,76,HAMD,17,5,Low risk,Low risk,High risk,Low risk,Unclear risk,Unclear risk,Unclear risk,0,0,2,0,1,1,"Blumenthal JA, Babyak MA, Doraiswamy PM, Watkins L, Hoffman BM, Barbour KA, Herman S, Craighead WE, Brosse AL, Waugh R, Hinderliter A. Exercise and pharmacotherapy in the treatment of major depressive disorder. Psychosomatic medicine. 2007;69(7):587.
Hoffman BM, Babyak MA, Craighead WE, Sherwood A, Doraiswamy PM, Coons MJ, Blumenthal JA. Exercise and pharmacotherapy in patients with major depression: one-year follow-up of the SMILE study. Psychosomatic medicine. 2011 Feb;73(2):127."
Bose 2008,CFB,US,12,68.3,59,MADRS,28.89,3.88,Low risk,Unclear risk,Low risk,Unclear risk,Low risk,High risk,High risk,0,1,0,1,0,0,"Bose A, Li D, Gandhi C. Escitalopram in the acute treatment of depressed patients aged 60 years or older. The American Journal of Geriatric Psychiatry. 2008 Jan 1;16(1):14-20."
Boulenger 2006,BF,"Denmark, France, Germany, Greece, Italy & The Netherlands",24,44.3,68,MADRS,35,3.75,Low risk,Low risk,Low risk,Unclear risk,Low risk,High risk,High risk,0,0,0,1,0,0,"Boulenger, J.P., Huusom, A.K.T., Florea, I., Baekdal, T. & Sarchiapone, M. (2006) A comparative study of the efficacy of long-term treatment with escitalopram and paroxetine in severely depressed patients. Current Medical Research and Opinion, 22, 1331-1341."
Boulenger 2014,CFB,"Belgium, Estonia, Finland, France, Germany, Latvia, Lithuania, Norway, Russia, Slovakia, South Africa, Sweden & Ukraine",8,46.9,70,MADRS,31.36,3.55,Low risk,Low risk,Low risk,High risk,Low risk,High risk,High risk,0,0,0,2,0,1,"Boulenger, J. P., Loft, H., & Olsen, C. K. (2014). Efficacy and safety of vortioxetine (Lu AA21004), 15 and 20 mg/day: a randomized, double-blind, placebo-controlled, duloxetine-referenced study in the acute treatment of adult patients with major depressive disorder. International clinical psychopharmacology, 29(3), 138."
Bowman 1995,BF,US,4,36.2,63,HAMD,19.9,5.18,Unclear risk,Unclear risk,High risk,Unclear risk,Low risk,Unclear risk,Unclear risk,1,1,2,1,0,1,"Bowman, D., Scogin, F., & Lyrene, B. (1995) The efficacy of self-examination therapy and cognitive bibliotherapy in the treatment of mild to moderate depression. Psychotherapy Research, 5, 95-140"
Boyer 1998,BF,France,26,43.4,78,MADRS,28.65,5.65,Unclear risk,Unclear risk,Low risk,Unclear risk,Unclear risk,High risk,Unclear risk,1,1,0,1,1,0,"Boyer, P., Danion, J. M., Bisserbe, J. C., Hotton, J. M., & Troy, S. (1998). Clinical and economic comparison of sertraline and fluoxetine in the treatment of depression. Pharmacoeconomics, 13(1), 157-169."
Brannan 2005,CFB,US,7,40.6,65,HAMD,22.9,3.48,High risk,Unclear risk,Low risk,Unclear risk,Unclear risk,High risk,High risk,2,1,0,1,1,1,"Brannan, S. K., Mallinckrodt, C. H., Brown, E. B., Wohlreich, M. M., Watkin, J. G., & Schatzberg, A. F. (2005). Duloxetine 60 mg once-daily in the treatment of painful physical symptoms in patients with major depressive disorder. Journal of Psychiatric Research, 39, 43-53."
Burke 2002,CFB,US,8,40.1,65,MADRS,28.91,4.77,Unclear risk,Unclear risk,Low risk,Unclear risk,Low risk,High risk,High risk,1,1,0,1,0,0,"Burke WJ, Gergel I, Bose A. Fixed-dose trial of the single isomer SSRI escitalopram in depressed outpatients. Journal of Clinical Psychiatry 2002;63(4):331-336"
Carman 1991,CFB,US,6,NA,NA,HAMD,27.15,NA,Unclear risk,Unclear risk,Low risk,Unclear risk,Unclear risk,High risk,High risk,1,1,0,1,1,0,"Carman, J. S., Ahdieh, H., Wyatt-Knowles, E., Warga, E., & Panagides, J. (1991). A controlled study of mianserin in moderately to severely depressed outpatients. Psychopharmacology bulletin, 27(2), 135-139."
Chang 2015,BF,Taiwan,6,39.7,73,HAMD,25.1,5.8,Unclear risk,Unclear risk,Unclear risk,Unclear risk,Unclear risk,High risk,Low risk,1,1,1,1,1,0,"Chang HH, Chou CH, Yang YK, Lee IH, Chen PS. Association between ABCB1 polymorphisms and antidepressant treatment response in Taiwanese major depressive patients. Clinical Psychopharmacology and Neuroscience. 2015 Dec;13(3):250."
Chiu 1996,CFB,Taiwan,6,45.7,63,HAMD,27.5,4.9,Unclear risk,Unclear risk,Low risk,Unclear risk,Unclear risk,High risk,High risk,1,1,0,1,1,0,"Chiu HJ, Hong CJ, Chan CH. Paroxetine in the treatment of Chinese patients with depressive episode: a double-blind randomized comparison with imipramine. Chung Hua i Hsueh Tsa Chih - Chinese Medical Journal 1996;57(6):418-423."
Choi 2012,BF,Australia,8,39,80,BDI,23.07,8.33,High risk,Low risk,High risk,Unclear risk,Low risk,Low risk,Low risk,2,0,2,1,0,1,"Choi, I., et al. (2012) Culturally attuned Internet treatment for depression amongst Chinese Australians: a randomised controlled trial. Journal of Affective Disorders 136, 459-468"
Choi 2014a/Choi 2014b,BF,US,12,65.2,78,HAMD,24.55,6.62,Unclear risk,Unclear risk,High risk,Unclear risk,Low risk,Unclear risk,Unclear risk,1,1,2,1,0,1,"Choi, N. G., et al. (2014) Telehealth problem-solving therapy for depressed low-income homebound older adults. The American journal of geriatric psychiatry : official journal of the American Association for Geriatric Psychiatry 22, 263-271"
Chouinard 1999,CFB,Canada,12,40.9,62,HAMD,25.68,7.18,Unclear risk,Unclear risk,Low risk,Unclear risk,Low risk,High risk,High risk,1,1,0,1,0,0,"Chouinard, G., Saxena, B., Bélanger, M. C., Ravindran, A., Bakish, D., Beauclair, L., ... & Remick, R. (1999). A Canadian multicenter, double-blind study of paroxetine and fluoxetine in major depressive disorder. Journal of affective disorders, 54(1-2), 39-48."
Claghorn 1992a,CFB,US,6,NA,NA,NR,NA,NA,Unclear risk,Unclear risk,Low risk,Unclear risk,Unclear risk,High risk,High risk,1,1,0,1,1,0,"Claghorn J. A double-blind comparison of paroxetine and placebo in the treatment of depressed outpatients. International Clinical Psychopharmacology Vol 6 Suppl 4, pp 25-30, 1992."
Claghorn 1992b,CFB,US,6,35,32,HAMD,24.799999999999997,3.7,Unclear risk,Unclear risk,Low risk,Unclear risk,Low risk,High risk,High risk,1,1,0,1,0,0,Claghorn JL. The safety and efficacy of paroxetine compared with placebo in a double-blind trial of depressed outpatients. Journal of Clinical Psychiatry 1992;53 Suppl:33-35.
Clayton 2006_study 1,CFB,US,8,35,61,HAMD,23.299999999999997,3.03,Unclear risk,Unclear risk,Low risk,Unclear risk,Low risk,High risk,High risk,1,1,0,1,0,0,"Clayton, A.H., Croft, H.A., Horrigan, J.P., Wightman, D.S., Krishen, A., Richard, N.E. & Modell, J.G. (2006) Bupropion extended release compared with escitalopram. Effects on sexual functioning and antidepressant efficacy in 2 randomised, double-blind, placebo-controlled studies. Journal of Clinical Psychiatry, 67, 736-746."
Clayton 2006_study 2,CFB,US,8,36.5,56,HAMD,23.3,3.58,Unclear risk,Unclear risk,Low risk,Unclear risk,Low risk,High risk,High risk,1,1,0,1,0,0,"Clayton, A.H., Croft, H.A., Horrigan, J.P., Wightman, D.S., Krishen, A., Richard, N.E. & Modell, J.G. (2006) Bupropion extended release compared with escitalopram. Effects on sexual functioning and antidepressant efficacy in 2 randomised, double-blind, placebo-controlled studies. Journal of Clinical Psychiatry, 67, 736-746."
Clerc 1994,BF,France & Belgium,6,51.3,68,MADRS,35.26,4.98,Unclear risk,Unclear risk,Low risk,Unclear risk,Low risk,Unclear risk,High risk,1,1,0,1,0,0,"Clerc GE, Ruimy P, Verdeau-Palles J. A double-blind comparison of venlafaxine and fluoxetine in patients hospitalized for major depression and melancholia. The Venlafaxine French Inpatient Study Group. International Clinical Psychopharmacology 1994;9(3):139-143."
Cohn 1990b,CFB,US,8,70.3,49,HAMD,24.2,NA,Unclear risk,Unclear risk,Low risk,Unclear risk,Low risk,Unclear risk,High risk,1,1,0,1,0,0,"Cohn CK, Shrivastava R, Mendels J et al. Double-blind, mulitcenter comparison of sertraline and amitriptyline in elderly depressed patients. Journal Clinical Psychiatry 1990;51(suppl B):28- 33."
