studyid,data_type,country,duration_weeks,mean_age,pct_female,baseline_scale,baseline_mean,baseline_sd,rob_sequence,rob_allocation,rob_blind_pp,rob_blind_outcome,rob_attrition,rob_reporting,rob_other,rob_score_sequence,rob_score_allocation,rob_score_blind_pp,rob_score_blind_out,rob_score_attrition,rob_high_any,full_reference
Deushle 2003,BF,Germany,5,54.1,67,HAMD,22.2,5.8,Unclear risk,Unclear risk,Low risk,Unclear risk,Unclear risk,High risk,High risk,1,1,0,1,1,0,"Deuschle, M., Hamann, B., Meichel, C., Krumm, B., Lederbogen, F., Kniest, A., ... & Heuser, I. (2003). Antidepressive treatment with amitriptyline and paroxetine: effects on saliva cortisol concentrations. Journal of clinical psychopharmacology, 23(2), 201-205."
Diaz-Martinez 1998,BF,Mexico,8,NA,72,MADRS,31.5,6.12,Unclear risk,Unclear risk,High risk,High risk,Unclear risk,High risk,High risk,1,1,2,2,1,1,"Diaz-Martinez A, Benassinni O, Ontiveros A, Gonzalez S, Salin R, Basquedano G, Martinez RA. A randomized, open-label comparison of venlafaxine and fluoxetine in depressed outpatients. Clinical Therapeutics 1998;20(3):467-476."
Dierick 1996,BF,"Belgium, Italy, Switzerland & France",8,43.4,65,HAMD,26.79,4.14,Unclear risk,Unclear risk,Low risk,Unclear risk,Low risk,High risk,High risk,1,1,0,1,0,0,"Dierick M, Ravizza L, Realini R, Martin A. A double-blind comparison of venlafaxine and fluoxetine for treatment of major depression in outpatients. Progress in NeuroPsychopharmacology & Biological Psychiatry 1996;20(1):57-71."
Doogan 1994,BF,UK,6,45.7,68,MADRS,27.59,3.4,Low risk,Unclear risk,Low risk,Unclear risk,Low risk,High risk,High risk,0,1,0,1,0,0,"Doogan DP, Langdon CJ. A double-blind, placebo-controlled comparison of sertraline and dothiepin in the treatment of major depression in general practice. International Clinical Psychopharmacology 1994 Summer;9(2):95-100."
Doongaji 1993,CFB,India,6,36,66,HAMD,25.7,6.83,Unclear risk,Low risk,Low risk,Unclear risk,Low risk,Unclear risk,High risk,1,0,0,1,0,0,"Doongaji DR, Bal S, Rajkumar S et al. Multicentre double-blind comparison of lofepramine and amitriptyline in the treatment of major depressive disorders in Indian patients. British Journal Clinical Research 1993;4:45-53."
Duan 2009,BF,China,6,37.5,62,HAMD,24.04,3.97,Unclear risk,Unclear risk,High risk,Unclear risk,Low risk,Unclear risk,Unclear risk,1,1,2,1,0,1,"Duan DM, Tu Y, Chen LP, Wu ZJ. Efficacy evaluation for depression with somatic symptoms treated by electroacupuncture combined with fluoxetine. Journal of Traditional Chinese Medicine. 2009 Sep 30;29(3):167-73."
Dube 2010,CFB,"India, US, Mexico & Romania",8,36.5,44,NR,NA,NA,High risk,Unclear risk,Low risk,Unclear risk,Low risk,Unclear risk,High risk,2,1,0,1,0,1,"Dubé, S., Dellva, M. A., Jones, M., Kielbasa, W., Padich, R., Saha, A., & Rao, P. (2010). A study of the effects of LY2216684, a selective norepinephrine reuptake inhibitor, in the treatment of major depression. Journal of psychiatric research, 44(6), 356-363."
Dubey 2012,CFB,India,6,36.5,67,HAMD,35.1,5.15,Unclear risk,Unclear risk,High risk,Low risk,Unclear risk,Unclear risk,Unclear risk,1,1,2,0,1,1,"Dubey, A. K., et al. (2012) Efficacy of duloxetine compared with imipramine in the treatment of major depressive disorder in Indian patients. International journal of pharma and bio sciences 3, 133-141"
Dunn 2005,BF,US,12,35.9,75,HAMD,19.4,2.3,Low risk,Low risk,High risk,Low risk,Low risk,High risk,High risk,0,0,2,0,0,1,"Dunn, A. L., Trivedi, M. H., Kampert, J. B., Clark, C. G., & Chambliss, H. O. (2005). Exercise treatment for depression: efficacy and dose response. American journal of preventive medicine, 28(1), 1-8."
E-1569,CFB,Europe,6,44.7,69,HAMD,25.16,NA,Unclear risk,Unclear risk,Low risk,Unclear risk,Low risk,Low risk,High risk,1,1,0,1,0,0,E-1569. https://www.iqwig.de/download/A05-20C_Abschlussbericht_1-1_Bupropion_Mirtazapin_und_Reboxetin_bei_Depressionen.pdf [data extracted from Cipriani 2018]
Egede 2015,BIN,US,8,63.9,2,BDI,26.8,10,Unclear risk,Low risk,High risk,Unclear risk,Low risk,High risk,Unclear risk,1,0,2,1,0,1,"Egede, L. E., Acierno, R., Knapp, R. G., Lejuez, C., Hernandez-Tejada, M., Payne, E. H., & Frueh, B. C. (2015). Psychotherapy for depression in older veterans via telemedicine: a randomised, open-label, non-inferiority trial. The Lancet Psychiatry, 2(8), 693-701."
Eli Lilly HMAT-A,CFB,US,8,NA,NA,HAMD,17.74,5.26,Unclear risk,Unclear risk,Low risk,Unclear risk,Unclear risk,Unclear risk,High risk,1,1,0,1,1,0,"Eli Lilly study F1J-MC-HMAT-A, CT Registry ID# 4091. Duloxetine versus placebo and paroxetine in the acute treatment of major depression. Study Group A. Clinicaltrialresults.org [date site accessed 13.06.08]."
Elkin 1989/Imber 1990,BF,US,16,35,70,HAMD,19.5,4.4,Low risk,Unclear risk,High risk,Unclear risk,Low risk,High risk,Low risk,0,1,2,1,0,1,"Elkin, I., Shea, M., Watkins, J. T. & et al. (1989). National institute of mental health treatment of depression collaborative research program: General effectiveness of treatments. Archives of General Psychiatry 46, 971-982."
Emsley 2018,BF,"Bulgaria, Estonia, Finland, France, Republic of Korea, Malaysia, Mexico, Poland, Romania, & Slovakia",8,70.6,75,HAMD,26.65,3.35,Unclear risk,Low risk,Low risk,Unclear risk,Low risk,High risk,High risk,1,0,0,1,0,0,"Emsley, R., Ahokas, A., Suarez, A., Marinescu, D., Doci, I., Lehtmets, A., . . . Penelaud, P. F. (2018). Efficacy of tianeptine 25-50 mg in elderly patients with recurrent major depressive disorder: An 8-week placebo- and escitalopram-controlled study. Journal of Clinical Psychiatry, 79 (4) (no pagination)(17m11741). doi:http://dx.doi.org/10.4088/JCP.17m11741"
FDA 244 (EMD 68 843-009),CFB,US,8,NA,NA,HAMD,24.19,NA,Unclear risk,Unclear risk,Low risk,Unclear risk,Unclear risk,High risk,High risk,1,1,0,1,1,0,http://www.accessdata.fda.gov/drugsatfda_docs/nda/2011/022567Orig1s000MedR.pdf
FDA 245 (EMD 68 843-010),CFB,US,8,NA,NA,HAMD,23.45,NA,Unclear risk,Unclear risk,Low risk,Unclear risk,Unclear risk,High risk,High risk,1,1,0,1,1,0,http://www.accessdata.fda.gov/drugsatfda_docs/nda/2011/022567Orig1s000MedR.pdf
Fabre 1992,CFB,US,6,35.5,62,HAMD,28.77,1.02,Unclear risk,Unclear risk,Low risk,Unclear risk,Unclear risk,High risk,High risk,1,1,0,1,1,0,"Fabre, L. F. (1992). A 6-week, double-blind trial of paroxetine, imipramine, and placebo in depressed outpatients. Journal of Clinical Psychiatry, 53 (Suppl.), 40-43"
Fabre 1995a,CFB,US,6,37.6,53,HAMD,25.15,3.05,Unclear risk,Unclear risk,Low risk,Unclear risk,High risk,Unclear risk,High risk,1,1,0,1,2,1,"Fabre L, Abuzzahab F, Amin M, Claghorn J, Mendels J, Dubé S, Small JG. Sertraline in major depression: double-blind comparison with placebo. Biol Psychiatry 1995;38:592-602."
Fagiolini 2020,CFB,"Austria, Czech Republic, Italy, Romania, Slovakia, & Spain",8,47.8,75,HAMD,23.7,3.67,Low risk,Low risk,Low risk,Low risk,Low risk,Low risk,Low risk,0,0,0,0,0,0,"Fagiolini, A., Albert, U., Ferrando, L., Herman, E., Muntean, C., Pálová, E., ... & Olivieri, L. (2020). A randomized, double-blind study comparing the efficacy and safety of trazodone once-a-day and venlafaxine extended-release for the treatment of patients with major depressive disorder. International clinical psychopharmacology, 35(3), 137."
Farabaugh 2015,BF,US,12,47.2,50,HAMD,18.69,4.71,Unclear risk,Unclear risk,High risk,Low risk,Unclear risk,High risk,Unclear risk,1,1,2,0,1,1,"Farabaugh, A., et al. (2015). ""Similar changes in cognitions following cognitive-behavioral therapy or escitalopram for major depressive disorder: Implications for mechanisms of change."" Annals of clinical psychiatry 27(2): 118-125."
Fava 1998a,CFB,US,12,41.3,51,HAMD,23.53,3.48,Unclear risk,Unclear risk,Low risk,Unclear risk,Low risk,Unclear risk,High risk,1,1,0,1,0,0,"Fava, M., Amsterdam, J. D., Deltito, J. A., Salzman, C., Schwaller, M., & Dunner, D. L. (1998). A Double-Blind Study of Paroxetine, Fluoxetine, and Placebo an Outpatients with Major Depression. Annals of Clinical Psychiatry, 10(4), 145-150."
Fava 2002a,CFB,US,4,42.9,60,HAMD,20.71,4.36,Unclear risk,Unclear risk,Low risk,Unclear risk,Low risk,Unclear risk,High risk,1,1,0,1,0,0,"Fava, M., Hoog, S. L., Judge, R. A., Kopp, J. B., Nilsson, M. E., & Gonzales, J. S. (2002). Acute efficacy of fluoxetine versus sertraline and paroxetine in major depressive disorder including effects of baseline insomnia. Journal of clinical psychopharmacology, 22(2), 137-147."
Fava 2005,BF,US,12,37.2,59,HAMD,19.74,2.99,Unclear risk,Unclear risk,Low risk,Unclear risk,Unclear risk,Unclear risk,High risk,1,1,0,1,1,0,"Fava M, Alpert J, Nierenberg AA, Mischoulon D, Otto MW, Zajecka J, Murck H, Rosenbaum JF. A double-blind, randomized trial of St John's wort, fluoxetine, and placebo in major depressive disorder. Journal of clinical psychopharmacology. 2005 Oct 1;25(5):441-7."
Fawcett 1989,BF,US,6,42.2,65,HAMD,23.55,NA,Unclear risk,Unclear risk,Low risk,Unclear risk,Unclear risk,Unclear risk,High risk,1,1,0,1,1,0,"Fawcett J, Zajecka J, Kravitz H. Fluoxetine vs amitriptyline in adult inpatients with major depression. Current Therapeutic Research 1989;45:821-832."
Feighner 1982,BIN,US,6,NA,71,HAMD,27.09,4.11,Unclear risk,Unclear risk,Low risk,Unclear risk,High risk,Unclear risk,Unclear risk,1,1,0,1,2,1,"Feighner, J. P., Meridith, C. H., Dutt, J. E., & Hendrickson, G. G. (1982). A double blind comparison of lofepramine, imipramine and placebo in patients with depression. Acta Psychiatrica Scandinavica, 66, 100-108"
Finkel 1999,BIN,US,12,74.4,53,HAMD,24.84,4.67,Low risk,Unclear risk,Low risk,Unclear risk,Low risk,High risk,High risk,0,1,0,1,0,0,"Finkel, S. I., Richter, E. M., Clary, C. M., & Batzar, E. (1999). Comparative efficacy of sertraline vs. fluoxetine in patients age 70 or over with major depression. American Journal of Geriatric Psychiatry, 7(3), 221-227."
Fonagy 2019,BF,UK,26,37.9,66,HAMD,18.54,4.92,Low risk,Low risk,High risk,Low risk,Low risk,Low risk,Unclear risk,0,0,2,0,0,1,"Fonagy, P., Lemma, A., Target, M., O'Keeffe, S., Constantinou, M. P., Ventura Wurman, T., . . . Pilling, S. (2019). Dynamic interpersonal therapy for moderate to severe depression: a pilot randomized controlled and feasibility trial. Psychological medicine, 1-10. doi:https://dx.doi.org/10.1017/S0033291719000928"
Forest Laboratories 2000,CFB,US,8,42,52,MADRS,28.6,4.77,Unclear risk,Unclear risk,Low risk,Unclear risk,Low risk,Unclear risk,High risk,1,1,0,1,0,0,"Forest Laboratories Inc. Flexible dose comparison of the saftey and efficacy of lu 26-054, citalopram, and placebo in the treatment of major depressive disorder (SCT-MD-02). Report date: December 5, 2000."
Forest Laboratories 2010,CFB,US,8,41.2,66,HAMD,29,NA,Unclear risk,Unclear risk,Low risk,Unclear risk,Unclear risk,Low risk,High risk,1,1,0,1,1,0,https://clinicaltrials.gov/ct2/show/NCT00668525
Forest Research Institute 2003,CFB,US,8,39,61,HAMD,30.04,3.87,Unclear risk,Unclear risk,Low risk,Unclear risk,Low risk,Unclear risk,High risk,1,1,0,1,0,0,"Forest Research Institute. Two-week double-blind placebo controlled study of escitalopram in the treatment of severe major depression. Report date: November 26, 2003"
Forest Research Institute 2004a,CFB,US,8,37,65,MADRS,30.3,4.74,Unclear risk,Unclear risk,Low risk,Unclear risk,Low risk,Unclear risk,High risk,1,1,0,1,0,0,"Forest Research Institute. Flexible dose comparison of the safety and efficacy of escitalopram and fluoxetine in the treatment of major depressive disorder (SCT-MD-16). Report date: July 26, 2004."
Forest Research Institute 2005,CFB,US,8,40,56,MADRS,30.4,4.61,Unclear risk,Unclear risk,Low risk,Unclear risk,Low risk,High risk,High risk,1,1,0,1,0,0,"Forest Research Institute. A double-blind flexible dose comparison of escitalopram sertraline and placebo in the treatment of major depressive disorder. Report date: February 7, 2005"
Forlenza 2001,CFB,Brazil,8,68.5,69,MADRS,29,5.03,Unclear risk,Unclear risk,Low risk,Unclear risk,Low risk,Unclear risk,High risk,1,1,0,1,0,0,"Forlenza, O. V., Almeida, O. P., Stoppe, A., Hirata, E. S., & Ferreira, R. C. (2001). Antidepressant efficacy and safety of low-dose sertraline and standard-dose imipramine for the treatment of depression in older adults: results from a double-blind, randomized, controlled clinical trial. International psychogeriatrics, 13(1), 75-84."
Freed 1999,BF,Australia,9,48,65,MADRS,31.53,6.32,Low risk,Low risk,Low risk,Unclear risk,Low risk,High risk,High risk,0,0,0,1,0,0,"Freed E, Goldney R, Lambert TT. A double-blind, multicentre study to assess the tolerability and efficacy of paroxetine compared with amitriptyline in the treatment of depressed patients in Australian general practice. Australian and New Zealand Journal of Psychiatry 1999;33:416-421."
Fu 2003,BF,China,8,31.2,73,HAMD,30.58,4.9,Unclear risk,Unclear risk,High risk,Unclear risk,Unclear risk,High risk,Unclear risk,1,1,2,1,1,1,Fu WB. Observations on the curative effect of acupuncture on depressive neurosis. Journal of Acupuncture and Tuina Science 2003;1(4):15–7.
Fudge 1990,BF,US,6,NA,NA,HAMD,23.39,2.86,Unclear risk,Unclear risk,Low risk,Unclear risk,Low risk,High risk,High risk,1,1,0,1,0,0,"Fudge JL, Perry PJ, Garvey MJ, Kelly MW. A comparison of the effect of fluoxetine and trazodone on the cognitive functioning of depressed outpatients. Journal of Affective Disorders 1990 Apr;18(4):275-80."
GSK_29060/103,CFB,UK,8,75.3,74,MADRS,31.23,5.82,Unclear risk,Unclear risk,Low risk,Unclear risk,Unclear risk,Low risk,High risk,1,1,0,1,1,0,"GlaxoSmithKline, 1993. A Double-Blind, multicentre study com- paring the Efficacy, tolerability and effects on cognitive func- tion of paroxetine with those of lofepramine in elderly de- pressed hospital In- or Out-Patients. GSK - Clinical Study Register  29060/103"
Gagiano 1993,BIN,South Africa,6,38.7,80,HAMD,24.75,4.83,Unclear risk,Unclear risk,Low risk,Unclear risk,Low risk,High risk,High risk,1,1,0,1,0,0,"Gagiano, C. A. (1993). A double blind comparison of paroxetine and fluoxetine in patients with major depression. British Journal of Clinical Research, 4, 145-152."
Gater 2010,BF,UK,12,41.7,100,HAMD,19.13,5.93,High risk,Unclear risk,High risk,Low risk,Low risk,High risk,Unclear risk,2,1,2,0,0,1,"Gater R, Waheed W, Husain N, Tomenson B, Aseem S, Creed F. Social intervention for British Pakistani women with depression: randomised controlled trial. The British Journal of Psychiatry. 2010 Sep 1;197(3):227-33."
Gentil 2000,BIN,Brazil,8,38.5,81,HAMD,24.21,3.1,Unclear risk,Unclear risk,Low risk,Unclear risk,Low risk,High risk,High risk,1,1,0,1,0,0,"Gentil V, Kerr-Correa F, Moreno R, Busnello ED, de Campos JA, Juruena MF, Lafer B, Moreno DH, de Cassia Rodrigues Rosa L, Tiosso A, Benedictis E. Double-blind comparison of venlafaxine and amitriptyline in outpatients with major depression with or without melancholia. Journal of Psychopharmacology 1961;14(1):Ltd."
Georgotas 1982,BF,US,4,38,33,HAMD,28.55,5.56,High risk,Unclear risk,Low risk,Unclear risk,Unclear risk,High risk,High risk,2,1,0,1,1,1,"Georgotas, A., Krakowski, M., & Gershon, S. (1982). Controlled trial of zimelidine, a 5-HT reuptake inhibitor, for treatment of depression. American Journal of Psychiatry, 139, 1057-1058"
Gerber 2020,BF,Switzerland,6,38.1,52,BDI,26.4,8.6,Low risk,Unclear risk,Unclear risk,Unclear risk,Unclear risk,High risk,Low risk,0,1,1,1,1,0,"Gerber, M., Imboden, C., Beck, J., Brand, S., Colledge, F., Eckert, A., ... & Hatzinger, M. (2020). Effects of Aerobic Exercise on Cortisol Stress Reactivity in Response to the Trier Social Stress Test in Inpatients with Major Depressive Disorders: A Randomized Controlled Trial. Journal of Clinical Medicine, 9(5), 1419."
Godlewska 2012,BF,UK,1,31.6,55,HAMD,23.75,5.09,Unclear risk,Unclear risk,Low risk,Unclear risk,Unclear risk,High risk,Unclear risk,1,1,0,1,1,0,"Godlewska, B. R., Norbury, R., Selvaraj, S., Cowen, P. J., & Harmer, C. J. (2012). Short-term SSRI treatment normalises amygdala hyperactivity in depressed patients. Psychological medicine, 42(12), 2609-2617."
Golden 2002_448,CFB,US,12,39,NA,HAMD,23.23,NA,Unclear risk,Unclear risk,Low risk,Unclear risk,Low risk,Low risk,High risk,1,1,0,1,0,0,"Golden RN, Nemeroff CB, McSorley P, Pitts CD, Dube EM. Efficacy and tolerability of controlled-release and immediate-release paroxetine in the treatment of depression. Journal of Clinical Psychiatry 2002;63(7):577-584."
Golden 2002_449,CFB,US,12,41.2,NA,HAMD,23.67,NA,Unclear risk,Unclear risk,Low risk,Unclear risk,Low risk,Low risk,High risk,1,1,0,1,0,0,"Golden RN, Nemeroff CB, McSorley P, Pitts CD, Dube EM. Efficacy and tolerability of controlled-release and immediate-release paroxetine in the treatment of depression. Journal of Clinical Psychiatry 2002;63(7):577-584."
Goldstein 2002,BF,US,8,41.4,64,HAMD,18.63,4.49,Unclear risk,Unclear risk,Low risk,Unclear risk,Low risk,High risk,High risk,1,1,0,1,0,0,"Goldstein, D. J., Mallinckrodt, C., Lu, Y., & Demitrack, M. A. (2002). Duloxetine in the treatment of major depressive disorder: a double-blind clinical trial. Journal of Clinical Psychiatry, 63, 225- 231"
Goldstein 2004,BIN,US,8,40.3,63,HAMD,17.63,4.97,Low risk,Unclear risk,Low risk,Unclear risk,Low risk,High risk,High risk,0,1,0,1,0,0,"Goldstein, D. J., Lu, Y., Detke, M. J., Wiltse, C., Mallinckrodt, C., & Demitrack, M. A. (2004). Duloxetine in the treatment of depression: a double-blind placebo-controlled comparison with paroxetine. Journal of Clinical Psychopharmacology, 24, 389-399."
Gual 2003,BIN,Spain,24,46.7,47,MADRS,22.56,7.39,Unclear risk,Low risk,Low risk,Unclear risk,Low risk,High risk,Unclear risk,1,0,0,1,0,0,"Gual, A., Balcells, M., Torres, M., Madrigal, M., Diez, T., & Serrano, L. (2003). Sertraline for the prevention of relapse in detoxicated alcohol dependent patients with a comorbid depressive disorder: A randomized controlled trial. Alcohol and Alcoholism, 38(6), 619-625. doi:http://dx.doi.org/10.1093/alcalc/agg124"
Guelfi 1995,CFB,France,4,56,85,HAMD,28.51,4.01,Unclear risk,Unclear risk,Low risk,Unclear risk,High risk,High risk,High risk,1,1,0,1,2,1,"Guelfi JD, White C, Hackett D, Guichoux JY, Magni G. Effectiveness of venlafaxine in patients hospitalized for major depression and melancholia. Journal of Clinical Psychiatry 1995;56(10):450-458."
Guelfi 2001,BF,"France, Belgium, Denmark, & Netherlands",8,45.2,66,MADRS,34.35,5.49,Unclear risk,Low risk,Low risk,Unclear risk,Low risk,High risk,High risk,1,0,0,1,0,0,"Guelfi JD, Ansseau M, Timmerman L, Korsgaard S, Mirtazapine-Venlafaxine Study Group. Mirtazapine versus venlafaxine in hospitalized severely depressed patients with melancholic features. Journal of Clinical Psychopharmacology 2001;21(4):425-431."
Hamamci 2006,BF,Turkey,12,NA,NA,BDI,28.55,7.89,Unclear risk,Unclear risk,High risk,Unclear risk,Unclear risk,High risk,Unclear risk,1,1,2,1,1,1,Hamamci Z. Integrating psychodrama and cognitive behavioral therapy to treat moderate depression. The Arts in Psychotherapy. 2006 Dec 31;33(3):199-207.
Hamdan-Mansour 2009,BF,Jordan,10,NA,45,BDI,24.24,9.44,Low risk,Low risk,High risk,Unclear risk,Low risk,Unclear risk,Low risk,0,0,2,1,0,1,"Hamdan-Mansour AM, Puskar K, Bandak AG. Effectiveness of cognitive-behavioral therapy on depressive symptomatology, stress and coping strategies among Jordanian university students. Issues in Mental Health Nursing. 2009;30(3):188-96."
Hao 2014,CFB,China,6,38.5,59,HAMD,23.7,NA,Unclear risk,Unclear risk,Low risk,Unclear risk,Low risk,High risk,High risk,1,1,0,1,0,0,"Hao X, Yang F, Kuang H, Shi J, Du B, Zhang K, Zhang H. Duloxetine hydrochloride enteric tablets in the treatment of major depressive disorder: a multicentre, randomised, double-blind and positive drug parallel controlled clinical trial. Chinese Journal of new Drugs. 2014;23:2767-2780."
Hashemi 2012,CFB,Iran,26,34.8,53,BDI,32.98,6.33,Unclear risk,Unclear risk,Low risk,Unclear risk,Unclear risk,High risk,Unclear risk,1,1,0,1,1,0,"Hashemi SN, Shirazi HG, Mohammadi A, Zadeh-Bagheri GH, Noorian KH, Malekzadeh M. Nortriptyline versus fluoxetine in the treatment of major depressive disorder: a six-month, double-blind clinical trial. Clinical pharmacology: advances and applications. 2012;4:1."
Hatcher 2018,CFB,New Zealand,12,42.6,54,PHQ-9,17.5,5.4,Unclear risk,Low risk,High risk,Unclear risk,Unclear risk,Low risk,Unclear risk,1,0,2,1,1,1,"Hatcher, S., Whittaker, R., Patton, M., Miles, W. S., Ralph, N., Kercher, K., & Sharon, C. (2018). Web-based therapy plus support by a coach in depressed patients referred to secondary mental health care: Randomized controlled trial. Journal of medical Internet research, 20 (1) (no pagination)(e5). doi:http://dx.doi.org/10.2196/mental.8510"
Heller 2009,BF,US,26,31.9,55,HAMD,20.69,2.39,Unclear risk,Unclear risk,Low risk,Low risk,Low risk,Low risk,High risk,1,1,0,0,0,0,Heller AS. Brain Imaging Techniques That Predict Antidepressant Responsiveness (WyethKolden). NCT00909155. Available from: https://clinicaltrials.gov/ct2/show/results/NCT00909155 [accessed Augist 2019]
Hemat-Far 2012,BF,Iran,8,NA,100,BDI,24.4,4.91,Unclear risk,Unclear risk,High risk,Unclear risk,Low risk,Unclear risk,Unclear risk,1,1,2,1,0,1,"Hemat-Far A, Shahsavari A, Roholla Mousavi S. Effects of selected aerobic exercises on the depression and concentrations of plasma serotonin in the depressed female students aged 18 to 25. Journal of Applied Research in Clinical and Experimental Therapeutics. 2012;12(1):47."
Hermens 2007,BF,Netherlands,13,46,73,MADRS,23.91,10.53,Low risk,Low risk,High risk,Unclear risk,Low risk,High risk,Low risk,0,0,2,1,0,1,"Hermens ML , van Hout HP , Terluin B  et al.  . Clinical effectiveness of usual care with or without antidepressant medication for primary care patients with minor or mild-major depression: a randomized equivalence trial. BMC Med  2007; 5: 36."
Hersen 1984,BF,US,12,NA,100,HAMD,23.08,5.99,Unclear risk,Unclear risk,High risk,Low risk,High risk,Unclear risk,Low risk,1,1,2,0,2,1,"Hersen M, Himmelhoch JM, Thase ME, Bellack AS. Effects of social skill training, amitriptyline, and psychotherapy in unipolar depressed women. Behavior Therapy. 1984 Jan 31;15(1):21-40."
Hewett 2009,BIN,NR,8,42.2,70,MADRS,30.21,4.71,Unclear risk,Unclear risk,Low risk,Unclear risk,Low risk,High risk,High risk,1,1,0,1,0,0,"Hewett, K., et al. (2009) Eight-week, placebo-controlled, double-blind comparison of the antidepressant efficacy and tolerability of bupropion XR and venlafaxine XR. Journal of psychopharmacology (Oxford, England) 23, 531-538 DOI: 10.1177/0269881108089602"
Hewett 2010,CFB,NR,8,44.3,68,MADRS,30.35,5.16,Unclear risk,Unclear risk,Low risk,Unclear risk,Low risk,Unclear risk,High risk,1,1,0,1,0,0,"Hewett, K., et al. (2010) Double-blind, placebo-controlled comparison of the antidepressant efficacy and tolerability of bupropion XR and venlafaxine XR. Journal of psychopharmacology (Oxford, England) 24, 1209-1216 DOI: 10.1177/0269881109106953"
Hieronymus 2016_PZ/109,BF,US,8,NA,63,HAMD,21.75,3.4,Unclear risk,Unclear risk,Unclear risk,Unclear risk,Low risk,High risk,High risk,1,1,1,1,0,0,"Hieronymus F, Emilsson JF, Nilsson S, Eriksson E. Consistent superiority of selective serotonin reuptake inhibitors over placebo in reducing depressed mood in patients with major depression. Mol Psychiatry. 2016 Apr;21(4):523-30."
Hieronymus 2016_PZ/111,BF,US,8,NA,69,HAMD,24.23,2.18,Unclear risk,Unclear risk,Unclear risk,Unclear risk,Low risk,High risk,High risk,1,1,1,1,0,0,"Hieronymus F, Emilsson JF, Nilsson S, Eriksson E. Consistent superiority of selective serotonin reuptake inhibitors over placebo in reducing depressed mood in patients with major depression. Mol Psychiatry. 2016 Apr;21(4):523-30."
Higuchi 2009,CFB,Japan,6,38.4,NA,HAMD,20.4,NA,Low risk,Low risk,Low risk,Unclear risk,Low risk,Low risk,High risk,0,0,0,1,0,0,"Higuchi T, Murasaki M, Kamijima K. Clinical evaluation of duloxetine in the treatment of major depressive disorder placebo and paroxetine controlled double-blind comparative study. Japanese Journal of Clinical Psychopharmacology 2009;12:1613-34"
Higuchi 2011,CFB,Japan & Korea,8,36.4,55,HAMD,22.66,2.67,Unclear risk,Unclear risk,Low risk,Low risk,Low risk,Low risk,High risk,1,1,0,0,0,0,"Higuchi, T., et al. (2011) Paroxetine controlled-release formulation in the treatment of major depressive disorder: a randomized, double-blind, placebo-controlled study in Japan and Korea. Psychiatry and clinical neurosciences 65, 655-663 DOI: 10.1111/j.1440-1819.2011.02243.x"
Higuchi 2016,CFB,Japan,8,38.4,NA,MADRS,32.9,4.78,Unclear risk,Unclear risk,Low risk,Low risk,Low risk,Low risk,High risk,1,1,0,0,0,0,"Higuchi, T., et al. (2016). ""A randomized, double-blinded, placebo-controlled study to evaluate the efficacy and safety of venlafaxine extended release and a long-term extension study for patients with major depressive disorder in Japan."" International clinical psychopharmacology 31(1): 8-19."
Hojatifar 2017,BF,Iran,8,NA,100,BDI-II,44.74,8.99,Unclear risk,Unclear risk,High risk,Unclear risk,Unclear risk,High risk,Unclear risk,1,1,2,1,1,1,"Hojatifar, Y., Zadeh, M. H., & Dortaj, F. (2017). The effectiveness of mindfulness on the reduction of anxiety and depression of divorced women. Indian Journal of Public Health Research and Development, 8(4), 23-27. doi:http://dx.doi.org/10.5958/0976-5506.2017.00306.0"
Hollon 1992,BF,US,12,32.6,80,HAMD,23.85,4.85,Unclear risk,Unclear risk,High risk,Low risk,Low risk,Unclear risk,High risk,1,1,2,0,0,1,"Hollon, S. D., DeRubeis, R. J., Evans, M. D., Wiemer, M. J., Garvey, M. J., Grove, W. M. & Tuason, V. B. (1992). Cognitive therapy and pharmacotherapy for depression. Singly and in combination. Arch Gen Psychiatry 49, 774-81."
Hong 2003,BIN,Taiwan,6,47.2,63,HAMD,23.7,5.1,Unclear risk,Unclear risk,Low risk,Unclear risk,Low risk,High risk,High risk,1,1,0,1,0,0,"Hong, C. J., Hu, W. H., Chen, C. C., Hsiao, C. C., Tsai, S. J., & Ruwe, F. J. (2003). A double-blind, randomized, group-comparative study of the tolerability and efficacy of 6 weeks' treatment with mirtazapine or fluoxetine in depressed Chinese patients. The Journal of clinical psychiatry, 64(8), 921-926."
Hopko 2003,BF,US,2,30.5,36,BDI,36.3,11.24,Unclear risk,Unclear risk,High risk,Unclear risk,Low risk,Unclear risk,Unclear risk,1,1,2,1,0,1,"Hopko, D. R., Lejuez, C. W., Lepage, J. P., Hopko, S. D., & McNeil, D. W. (2003). A brief behavioral activation treatment for depression: A randomized pilot trial within an inpatient psychiatric hospital. Behavior modification, 27(4), 458-469."
Hoyberg 1996,BF,Norway & UK,6,70.5,83,MADRS,31.46,6.68,Unclear risk,Unclear risk,Low risk,Unclear risk,Low risk,Unclear risk,High risk,1,1,0,1,0,0,"Hoyberg OJ, Maragakis B, Mullin J, Norum D, Stordall E, Ekdahl P, Ose E, Moksnes KM, Sennef C. A double-blind multicentre comparison of mirtazapine and amitriptyline in elderly depressed patients. Acta Psychiatrica Scandinavica 1996;93(3):184-190."
