.trtb,.trta,parameter,mean,sd,2.5%,25%,50%,75%,97.5%,Bulk_ESS,Tail_ESS,Rhat,model
Psychoeducation group + AD,Placebo,d[Psychoeducation group + AD],-0.30429611230981307,6.133046686901048,-12.336248731434912,-4.542769313448403,-0.15286645300860313,3.7187405456202987,11.991507231317183,7696.0545045403205,3226.483821600963,0.9998710933967753,C_no_bin_M0_base
Relaxation individual + AD,Placebo,d[Relaxation individual + AD],-4.155748882577758,5.929108198869652,-15.856430767329064,-8.09416742195248,-4.2008533122134954,-0.08092194171100073,7.3468519131195364,7997.1261077393565,2880.1168167284395,1.0004262405075786,C_no_bin_M0_base
Relaxation individual + placebo,Placebo,d[Relaxation individual + placebo],-0.14701859443995002,6.031813052709468,-11.925277117038739,-4.350087193154581,-0.04908912273444612,3.9657451168068016,11.401420099411665,5650.021595890516,3330.7256582352347,0.9996015729922381,C_no_bin_M0_base
Self-help,Placebo,d[Self-help],-1.4126687346193583,3.3322236838305437,-7.978356948691198,-3.693104928934573,-1.486291093866447,0.7860135086679985,5.365809252979832,2283.1008875252614,2818.4963718592307,1.0025073311332389,C_no_bin_M0_base
Self-help with support,Placebo,d[Self-help with support],-2.18794891176491,3.2677353255382497,-8.739124657921511,-4.362372955549862,-2.1117851715776945,0.00663095194675817,4.165516213786981,2410.0640730869,2886.8454213404116,1.002897565800522,C_no_bin_M0_base
Sham acupuncture,Placebo,d[Sham acupuncture],-2.880895092528433,4.958728183438468,-12.725243401071491,-6.169126269580307,-2.8766899734676548,0.4213953016493304,6.825393377875175,3785.862938615159,3246.9567818980795,0.9997142369634153,C_no_bin_M0_base
Short-term psychodynamic psychotherapies individual,Placebo,d[Short-term psychodynamic psychotherapies individual],-3.8565134886399735,3.9699928401897044,-11.59290140372131,-6.453747846894428,-3.880143823495855,-1.110809754563924,3.7993501230433084,3734.826511008753,3183.5018753862582,0.9999120139499635,C_no_bin_M0_base
Short-term psychodynamic psychotherapies individual + AD,Placebo,d[Short-term psychodynamic psychotherapies individual + AD],-0.001864937118500382,5.53843065681548,-10.9425376508002,-3.799695310625726,0.10091039479161518,3.739860311742397,10.741723894537836,6191.322717766314,3262.970191714943,1.0003288200081362,C_no_bin_M0_base
SNRIs,Placebo,d[SNRIs],-9.178659012027317,1.085408049197032,-11.245520406209067,-9.901650939374424,-9.18445980184964,-8.506923503487508,-6.93091268352866,543.0534918884771,1134.6463373852673,1.0050825295566865,C_no_bin_M0_base
SSRIs,Placebo,d[SSRIs],-5.298105465114703,0.7843137865506571,-6.8054062559098245,-5.826858706703904,-5.310855056577045,-4.78719142673054,-3.7413928240396515,254.32604698656442,394.41518629103456,1.0212375517475576,C_no_bin_M0_base
TAU,Placebo,d[TAU],-0.9522925817196928,3.392223758232554,-7.818004293480251,-3.2456537664869214,-0.8730907492640504,1.2570048471501543,5.839836262909867,3693.6592536938742,2614.04489500515,1.0003477379147534,C_no_bin_M0_base
TCAs,Placebo,d[TCAs],-5.422343134098981,1.0841206684829305,-7.522383646393547,-6.165058130511747,-5.422536480244071,-4.697195676536842,-3.261454399513814,540.2300701345962,698.3635298866908,1.003374218815037,C_no_bin_M0_base
Trazodone,Placebo,d[Trazodone],-3.711073727193256,2.5110175865083755,-8.604025018197,-5.449063971969071,-3.6859286278900947,-2.007905060735775,1.235224310794748,2350.5801199771277,2415.5262446897277,1.0006200584741065,C_no_bin_M0_base
Waitlist,Placebo,d[Waitlist],7.051448178700356,2.8937604528504637,1.3711687201320903,5.077358227972616,7.0798620746809116,9.047962251727023,12.607590089778201,1954.7242129812062,2929.930175328235,1.0022757824095612,C_no_bin_M0_base
Yoga group,Placebo,d[Yoga group],-2.5552801208709406,5.274489623155818,-13.09004259724383,-6.08235422066553,-2.5216616519006196,1.0467680015871135,7.737037880275301,4657.826445219626,2835.8061428791066,1.0006655726761249,C_no_bin_M0_base
Yoga group + AD,Placebo,d[Yoga group + AD],-3.1374269752165915,6.385441861495545,-15.759687005703219,-7.400955640055497,-3.182019134132112,1.2330589603056257,9.082143454923608,6806.552782625902,2980.368176779654,1.0013934486358071,C_no_bin_M0_base
